tau,N_2,N_4,N_8,N_16
0.5,5059.52779580921,5058.780847635491,5058.620252303534,5058.5817624413285
1.0263157894736843,4941.9718070831495,4939.015453419973,4938.706786625118,4938.6582715899285
1.5526315789473684,4930.304873078922,4918.431817562103,4917.491397626983,4917.402024241198
2.0789473684210527,4946.00593596913,4912.899141489366,4910.295869887565,4910.095759067169
2.6052631578947367,4984.368935000705,4913.1104267379915,4907.140270560675,4906.706980904258
3.1315789473684212,5046.358862908473,4917.431164398952,4905.665655204636,4904.812408745622
3.6578947368421053,5132.51316003438,4925.843656970473,4905.149231354135,4903.615458705618
4.184210526315789,5242.238498059198,4938.750968386696,4905.363976967749,4902.807850558324
4.7105263157894735,5374.074194980742,4956.623779362629,4906.26302522239,4902.255953241037
5.2368421052631575,5526.0830085169,4979.873154362113,4907.872341161997,4901.895622718829
5.7631578947368425,5696.160908023671,5008.804916266588,4910.2503375108745,4901.6943618024525
6.2894736842105265,5882.235834979544,5043.609961086757,4913.472114608576,4901.63813571545
6.815789473684211,6082.376973679709,5084.371130562395,4917.621011924466,4901.724463273999
7.342105263157895,6294.843868832939,5131.07668811158,4922.780768332631,4901.955118804497
7.868421052631579,6518.0992653251515,5183.635964306888,4929.029381267332,4902.330993996012
8.394736842105264,6750.802051873956,5241.895664804441,4936.436811600353,4902.851641500617
8.921052631578947,6991.790569804449,5305.655867215191,4945.065426503991,4903.517351807956
9.447368421052632,7240.062302626875,5374.684573247775,4954.970885984116,4904.330820301735
9.973684210526315,7494.7532461225355,5448.729976148097,4966.2024284119525,4905.297536547583
10.5,7755.11861198184,5527.530195702517,4978.802662387616,4906.425358195374
