tau,N_2,N_4,N_8,N_16
0.5,5020.306650105263,5048.9196763925365,5056.151428363903,5057.964335154323
1.0263157894736843,4784.483925112577,4898.703558764927,4928.567374919822,4936.119534448938
1.5526315789473684,4584.908683516087,4827.513712296223,4894.446728600167,4911.620641872899
2.0789473684210527,4357.471873424881,4752.429564196734,4869.192824396177,4899.755499374719
2.6052631578947367,4112.155541939913,4665.704307053976,4842.939202664805,4890.499092927007
3.1315789473684212,3862.6140955999726,4567.490499556201,4813.469045375756,4881.437789989118
3.6578947368421053,3619.209328676901,4459.662776472383,4780.226654116185,4871.786625833829
4.184210526315789,3388.400404514253,4344.515660567646,4743.1732275759405,4861.25076071403
4.7105263157894735,3173.5258009900463,4224.32800019898,4702.467470058584,4849.71174618426
5.2368421052631575,2975.7862655146773,4101.1790372496835,4658.354538406732,4837.122314799884
5.7631578947368425,2795.0621036430016,3976.869709498937,4611.121915244897,4823.468469084418
6.2894736842105265,2630.4943768229127,3852.899184253088,4561.07988276629,4808.756166884097
6.815789473684211,2480.8628834202086,3730.4723646818884,4508.549517061555,4793.004274224202
7.342105263157895,2344.8165280738453,3610.5239838774423,4453.851846912728,4776.237209887595
7.868421052631579,2221.0054705229345,3493.750943740435,4397.299279250049,4758.479803157151
8.394736842105264,2108.1514453229506,3380.6480253081354,4339.1911617520445,4739.7567804460605
8.921052631578947,2005.0807654086104,3271.5435216632304,4279.812246366508,4720.094702032656
9.447368421052632,1910.7356765975169,3166.6322372440186,4219.431859371262,4699.523453927918
9.973684210526315,1824.1737275246653,3066.004386818415,4158.3028498089425,4678.076471459776
10.5,1744.560953134755,2969.6699477436396,4096.6604469947115,4655.790169620816
