tau,N_2,N_4,N_8,N_16
0.25,11341.981081859783,11341.213779959267,11341.025591987842,11340.978773210833
0.5909090909090909,10692.336300096635,10690.958264094224,10690.721692412899,10690.669440590202
0.9318181818181818,10607.532483941204,10603.277252455433,10602.851289151644,10602.786800333723
1.2727272727272727,10588.585669841623,10576.328175146698,10575.354777109853,10575.255226087218
1.6136363636363635,10594.285885488978,10565.575344694054,10563.41121116088,10563.234286602617
1.9545454545454546,10618.492451403083,10561.60306401105,10557.257589918503,10556.936088849281
2.2954545454545454,10661.281521810184,10561.69724126217,10553.787371246413,10553.224004146357
2.6363636363636362,10723.899730522926,10565.058500962661,10551.78231696479,10550.844994959243
2.977272727272727,10807.45381445082,10571.577558332285,10550.706363485911,10549.224041156804
3.3181818181818183,10912.547844969627,10581.426206850301,10550.313461878422,10548.072522160188
3.659090909090909,11039.241143119882,10594.89084529343,10550.49548516615,10547.236639995606
4.0,11187.125288220564,10612.29386328567,10551.215097961702,10546.63079001149
4.340909090909091,11355.437541496258,10633.952585899853,10552.473144455367,10546.205442892828
4.681818181818182,11543.173601378421,10660.156751935208,10554.291618038822,10545.93060667188
5.0227272727272725,11749.184183728643,10691.156326262422,10556.704304593906,10545.786975655355
5.363636363636363,11972.250861733433,10727.1556549705,10559.75153108413,10545.761218136971
5.704545454545454,12211.141919792635,10768.31175127311,10563.477252819852,10545.84363893453
6.045454545454546,12464.651194458589,10814.73530762564,10567.927465797273,10546.027175006338
6.386363636363637,12731.623450777344,10866.493448999154,10573.149293369192,10546.307030027343
6.7272727272727275,13010.969628385845,10923.613515447025,10579.190347688382,10546.680515965525
7.068181818181818,13301.674766551781,10986.087370539772,10586.098167197511,10547.146892736511
7.409090909090909,13602.80082840619,11053.875892478822,10593.91966763451,10547.707149311664
7.75,13913.48610535809,11126.913420616993,10602.700612044622,10548.363742910215
8.090909090909092,14232.942434105651,11205.112009813813,10612.485124847322,10549.120330924514
8.431818181818182,14560.451105947875,11288.365399333125,10623.315270920411,10549.981522825285
8.772727272727273,14895.358080929982,11376.552640976504,10635.230710047721,10550.952666142328
9.113636363636363,15237.068922398938,11469.541358713263,10648.268427817531,10552.039670110671
9.454545454545455,15585.043725436099,11567.19063244223,10662.462538217498,10553.248864424484
9.795454545454545,15938.7922119825,11669.35351341956,10677.844150321374,10554.586887859392
10.136363636363637,16297.869095427985,11775.87918936124,10694.441290575107,10556.060600953979
10.477272727272727,16661.869769580328,11886.61482408913,10712.27887237759,10557.677017422908
10.818181818181818,17030.42634492386,12001.407100557692,10731.378705329784,10559.443249852493
11.159090909090908,17403.204034240844,12120.103497834894,10751.75953736518,10561.366466160343
11.5,17779.897876605628,12242.553332699506,10773.437123812802,10563.453854130947
11.840909090909092,18160.229781035338,12368.608595452362,10796.424318213147,10565.712592019621
12.181818181818182,18543.94586696304,12498.124607720592,10820.731180389363,10568.14982374884
12.522727272727273,18930.81407697492,12630.960527771646,10846.365097872405,10570.772637622918
12.863636363636363,19320.62203707608,12766.979726378979,10873.330917301004,10573.588047785575
13.204545454545455,19713.175140537514,12906.050053759061,10901.631082875556,10576.602977862562
13.545454545454545,20108.294832731324,13048.04401564268,10931.265779350844,10579.824246389353
13.886363636363637,20505.817076016465,13192.83887422503,10962.233077412717,10583.258553736643
14.227272727272727,20905.590975515453,13340.316687601111,10994.529079605902,10586.912470326895
14.568181818181818,21307.477548411654,13490.364299356403,11028.148065267633,10590.792425991804
14.909090909090908,21711.34862112525,13642.87328825303,11063.082633179065,10594.904700360506
15.25,22117.085840353804,13797.739886424417,11099.323840875793,10599.255414195944
