n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
2,0.8541049942764065,1.0126857677498455,1.0001178146842236,2.0,0.9825446713138967
3,0.8703223054058888,1.0319141299325443,1.0149105373481575,3.0,1.2105340699955593
4,1.270375160579185,1.5062443767951201,1.490336564889418,4.0,1.401924606219781
5,1.2864734259785422,1.525331590152537,1.5050457965447492,5.0,1.5701568653753166
6,1.309241525187872,1.5523270183288327,1.5261174126726047,6.0,1.7220315264927815
7,1.6842540543820803,1.996967728297502,1.9781182922206426,7.0,1.8615564932163795
8,1.7062990605081723,2.023105807460434,1.9985401246204333,8.0,1.9913293492634836
9,1.7196024889709065,2.0388792694548847,2.010718670190556,9.0,2.1131475521562733
10,1.7502707333866283,2.0752416544658594,2.0396450425857893,10.0,2.2283160855605844
11,2.096521247492376,2.4857801363395353,2.464027971445546,11.0,2.3378179093254827
12,2.1262793550132546,2.5210634002983063,2.4921170923918794,12.0,2.4424153162722524
13,2.138924542438019,2.5360564063355078,2.5037190743184397,13.0,2.542713624685385
14,2.1534654093670156,2.5532970606911434,2.5171531770905062,14.0,2.639203019315244
15,2.192242102833177,2.5992733819358698,2.5545231460863533,15.0,2.732287059801566
16,2.5080555185726325,2.973723541491207,2.948775852581093,16.0,2.82230270827914
17,2.5458766707455425,3.0185669070985632,2.9852502295319745,17.0,2.9095347698833334
18,2.5600501264331115,3.03537193335508,2.9983681662797608,18.0,2.994226540721359
19,2.571048811643209,3.0484127328479573,3.00847294680932,19.0,3.0765878139848795
20,2.5879160011238582,3.06841163560987,3.0242481447116916,20.0,3.1568010037315313
21,2.6342795018397283,3.123383398604645,3.0699736681090144,21.0,3.2350259005393305
22,2.9196314441023787,3.461716335030083,3.433048186696851,22.0,3.3114034150432827
23,2.9650563169350335,3.515575196092527,3.4778773492130313,23.0,3.3860585607990186
24,2.981606081836844,3.535197738388824,3.4933784772081253,24.0,3.4591028572681
25,2.9919939917529064,3.5475143605830084,3.5029399325776467,25.0,3.5306362850285753
26,3.0031853254724865,3.5607835774309464,3.513286671834294,26.0,3.6007488911559045
27,3.022776705448905,3.5840124682648025,3.531865770564309,27.0,3.669522118363688
28,3.075744700667201,3.6468149752905816,3.585369098353567,28.0,3.737029913870148
29,3.3318428131415203,3.950462554204549,3.9174319920703056,29.0,3.803339661029544
