tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N16,Energy_H_N16,Energy_T_N0,Energy_H_N0
0.75,2593.6190441469503,2605.0545264693756,2602.0925776491113,2604.960839692789,2604.2264917268108,2604.9441486088936,2604.7609502696805,2604.9404015204427,2604.939190444215,2604.939190444215
1.25,2473.3827679963397,2503.640019701778,2495.7626120212776,2503.3956339650254,2501.4600557867825,2503.372685580187,2502.8909677065053,2503.369399829247,2503.368524035503,2503.368524035503
1.75,2419.9436301743067,2477.9384132270598,2462.45023480768,2477.2044078104386,2473.445082029853,2477.150153477132,2476.217776491442,2477.1450865181223,2477.144162739432,2477.144162739432
2.25,2374.508074909187,2468.552929367566,2442.558413809633,2466.745288168512,2460.527571844796,2466.6189218202717,2465.0837041793884,2466.609371338764,2466.608188512863,2466.608188512863
2.75,2327.696498395956,2465.3921091171364,2425.753856295147,2461.6314973442227,2452.3006600012777,2461.368540809499,2459.0770623612507,2461.35031825088,2461.3485992445653,2461.3485992445653
3.25,2277.6228048573525,2465.7843284311634,2409.120208497166,2458.882513568299,2445.7592914733304,2458.389651778144,2455.1867754231957,2458.356578096266,2458.3539114585387,2458.3539114585387
3.75,2224.2979568086375,2468.9248329527095,2391.63117936473,2457.3980245538874,2439.775394173051,2456.5490684110587,2452.2775825883136,2456.492562159832,2456.488359698149,2456.488359698149
4.25,2168.3231465160798,2474.607373441141,2372.901465650558,2456.7101780005105,2433.851122072188,2455.3430238179144,2449.8433358648417,2455.251734537356,2455.2451982676434,2455.2451982676434
4.75,2110.468802288919,2482.8332382150497,2352.80807663145,2456.6064007328646,2427.74263970525,2454.520986592082,2447.6308562051563,2454.3804687900993,2454.3705650514257,2454.3705650514257
5.25,2051.508560930724,2493.6660178580223,2331.350627400668,2456.991243351234,2421.3228915106474,2453.948473946082,2445.502780787206,2453.740898071516,2453.7263370163832,2453.7263370163832
5.75,1992.1474063139165,2507.171948617317,2308.5914633622065,2457.8280399146224,2414.5241147776255,2453.549613419312,2443.3801522648646,2453.2535078400515,2453.2327257546567,2453.2327257546567
6.25,1932.9920552351616,2523.3953663833645,2284.6266141491037,2459.111327531227,2407.311023739754,2453.2803766126567,2441.215675041714,2452.8703952635415,2452.841537471894,2452.841537471894
6.75,1874.542870055152,2542.3503056356067,2259.570148683329,2460.8525605834957,2399.6671913799546,2453.1150097331597,2438.9801660568764,2452.561722432939,2452.522625355962,2452.522625355962
7.25,1817.1972941867932,2564.019945567775,2233.5449872561016,2463.0721513645176,2391.5876559776652,2453.038687592307,2436.6552288481907,2452.30839213587,2452.2565639236586,2452.2565639236586
7.75,1761.2592565891937,2588.3598065823894,2206.6771266001806,2465.7947787340877,2383.074691078808,2453.043329953893,2434.229090989554,2452.0978864298486,2452.0304860728297,2452.0304860728297
8.25,1706.9512315857523,2615.302514130805,2179.0918281699273,2469.0465081731654,2374.135281481401,2453.12512316188,2431.6941481533304,2451.9218114430855,2451.8356265885986,2451.8356265885986
8.75,1654.4269522162974,2644.762935700762,2150.911026240303,2472.8529790456196,2364.779563519652,2453.2830055975546,2429.045473426866,2451.7744071938437,2451.665831044433,2451.665831044433
9.25,1603.783610271358,2676.643054288153,2122.2515481488517,2477.2382555674903,2355.019832360051,2453.517719875991,2426.279895105713,2451.651625800907,2451.5166337660266,2451.5166337660266
9.75,1555.0729208968303,2710.8362698036926,2093.2239080279164,2482.224111052779,2344.8698959436633,2453.831211642492,2423.395423451293,2451.5505587400526,2451.3846860124486,2451.3846860124486
10.25,1508.3107802527222,2747.231013416965,2063.9315245900766,2487.8296073348833,2334.3446490396127,2454.2262487228713,2420.390900871448,2451.4690877999114,2451.2674093804126,2451.2674093804126
