n_vals,runtimes
0,2.9200000426499173e-06
250,0.02576737000003959
500,0.08646052300002793
750,0.16818709599999693
1000,0.2820750289999978
1250,0.411116303999961
1500,0.5592295190000414
1750,0.7475096549999307
2000,0.9215396409999812
2250,1.1671638389998407
2500,1.4060488580000765
2750,1.6585931330000676
3000,1.9728496329998961
3250,2.3211042329999145
3500,2.616060404000109
3750,2.9559576040001048
4000,3.3851990690000093
4250,3.654995195000083
4500,4.117469824999944
4750,4.640745256999935
5000,5.667821044999982
