tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N0,Energy_H_N0
0.046875,943932177.902832,943996992.5817957,943982540.6216431,943998745.1559172,943995132.6950073,943999183.8826152,943999329.9224243,943999329.9224243
0.078125,943023892.3758545,943203759.9090377,943160525.6481934,943205499.0466713,943194694.2922363,943205938.0491778,943206084.612793,943206084.612793
0.109375,942652966.1022949,943005367.8001329,942918935.2678223,943007060.5497822,942985463.7531738,943007496.6281031,943007643.2021484,943007643.2021484
0.140625,942343747.3388672,942926097.8297,942782023.9987793,942927679.333145,942891690.1188965,942928108.1882113,942928254.170166,942928254.170166
0.171875,942016997.140625,942886626.4791106,942670438.6152344,942887996.7570812,942834012.8110352,942888411.7842858,942888557.206543,942888557.206543
0.203125,941650197.3515625,942864330.6779207,942561507.5610352,942865334.6461061,942789753.9306641,942865729.0952749,942865872.4892578,942865872.4892578
0.234375,941235024.9633789,942850761.9675962,942446741.5141602,942851195.7775434,942750405.9116211,942851552.0571222,942851693.9301758,942851693.9301758
0.265625,940767922.6513672,942842217.1585559,942322369.4331055,942841799.9078943,942712192.9423828,942842104.2810746,942842242.0585938,942842242.0585938
0.296875,940247244.6220703,942836884.3262678,942186520.2568359,942835265.4766634,942673223.0771484,942835493.1622596,942835625.3515625,942835625.3515625
0.328125,939672242.1689453,942833828.6160622,942038176.4072266,942830563.1026982,942632465.0556641,942830686.6996313,942830813.1796875,942830813.1796875
0.359375,939042620.3251953,942832549.1135865,941876756.5947266,942827098.3996859,942589323.8144531,942827089.0085344,942827204.140625,942827204.140625
0.390625,938358344.3554688,942832785.6184553,941701920.4677734,942824516.6368492,942543422.2871094,942824322.1164633,942824428.1015625,942824428.1015625
0.421875,937619545.0341797,942834424.2481226,941513440.7167969,942822574.8153888,942494532.3769531,942822156.9430804,942822246.8251953,942822246.8251953
0.453125,936826455.4267578,942837434.4994348,941311192.4248047,942821131.0707955,942442493.9990234,942820432.3351351,942820501.7421875,942820501.7421875
0.484375,935979387.9306641,942841846.6693828,941095091.8154297,942820083.3911183,942387195.5878906,942819035.5761032,942819083.9042969,942819083.9042969
0.515625,935078712.2392578,942847730.1655012,940865090.0214844,942819363.4037349,942328568.65625,942817896.9506543,942817916.296875,942817916.296875
0.546875,934124848.3203125,942855186.9066801,940621166.7509766,942818930.059063,942266554.4589844,942816956.3989545,942816943.0722656,942816943.0722656
0.578125,933118254.8476562,942864340.1357912,940363306.6582031,942818745.9717389,942201120.4980469,942816180.0330552,942816123.8125,942816123.8125
0.609375,932059424.0722656,942875329.7120205,940091519.1113281,942818797.2496192,942132229.40625,942815529.0053858,942815427.2070312,942815427.2070312
0.640625,930948878.3691406,942888309.0983468,939805820.2382812,942819075.5174798,942059870.0078125,942814990.5911005,942814830.2421875,942814830.2421875
0.671875,929787180.8789062,942903456.6467671,939506218.5507812,942819563.5026023,941984010.1132812,942814530.9504449,942814314.9121094,942814314.9121094
0.703125,928574895.4628906,942920935.5272243,939192756.5996094,942820276.8406109,941904662.4121094,942814161.0757183,942813866.3964844,942813866.3964844
0.734375,927312644.109375,942940952.450116,938865452.3984375,942821205.3135301,941821791.9863281,942813844.2259837,942813474.1210938,942813474.1210938
0.765625,926001041.9355469,942963692.2474918,938524346.2265625,942822359.8284187,941735422.8613281,942813602.5785301,942813129.1230469,942813129.1230469
0.796875,924640735.3183594,942989357.0877919,938169474.6699219,942823746.3748177,941645523.8632812,942813402.9715044,942812823.3886719,942812823.3886719
0.828125,923232406.6191406,943018171.9251798,937800884.15625,942825379.6312463,941552102.0644531,942813250.4479271,942812552.2753906,942812552.2753906
0.859375,921776738.2910156,943050348.4696223,937418609.7792969,942827261.693097,941455156.8476562,942813142.2723962,942812309.9746094,942812309.9746094
0.890625,920274433.9375,943086107.1847456,937022711.3691406,942829418.3493468,941354684.25,942813072.2777292,942812091.8457031,942812091.8457031
0.921875,918726223.6269531,943125683.3471484,936613223.4316406,942831848.7497207,941250696.0292969,942813049.9611424,942811897.6738281,942811897.6738281
0.953125,917132843.5253906,943169306.7727505,936190207.5625,942834578.1419145,941143171.8632812,942813052.6075014,942811720.0664062,942811720.0664062
0.984375,915495049.8398438,943217216.6856561,935753715.4316406,942837620.6450883,941032133.0605469,942813099.1212413,942811560.2832031,942811560.2832031
1.015625,913813606.1992188,943269649.337278,935303800.4492188,942840990.9950598,940917569.2285156,942813176.5712311,942811415.0136719,942811415.0136719
1.046875,912089308.8632812,943326864.6149846,934840524.0644531,942844710.9093274,940799483.5,942813285.4950064,942811281.6054688,942811281.6054688
1.078125,910322936.390625,943389094.686491,934363940.6210938,942848793.8340169,940677891.9960938,942813439.3688129,942811161.1191406,942811161.1191406
1.109375,908515305.9765625,943456602.8014212,933874115.5996094,942853263.3518708,940552775.0957031,942813615.7687956,942811049.0019531,942811049.0019531
1.140625,906667226.4257812,943529635.2516406,933371110.3867188,942858137.8358512,940424149.3007812,942813828.3949164,942810947.9375,942810947.9375
1.171875,904779533.6484375,943608458.7947118,932854988.6914062,942863436.9324287,940292024.78125,942814084.5267498,942810853.171875,942810853.171875
1.203125,902853019.5742188,943693287.1603969,932325819.8203125,942869184.8901112,940156389.0898438,942814368.6883249,942810766.5507812,942810766.5507812
1.234375,900888594.7929688,943784451.422172,931783660.3007812,942875391.9901146,940017256.6015625,942814692.2182704,942810685.7460938,942810685.7460938
1.265625,898887043.875,943882145.001586,931228598.734375,942882099.932755,939874631.2539062,942815055.9134716,942810611.4023438,942810611.4023438
1.296875,896849257.0507812,943986666.5037752,930660687.125,942889312.3722003,939728512.3828125,942815455.8765627,942810542.5390625,942810542.5390625
1.328125,894776063.5859375,944098245.7408477,930080020.6015625,942897075.6339995,939578899.890625,942815888.6981648,942810477.8789062,942810477.8789062
1.359375,892668349.703125,944217168.2067182,929486642.625,942905382.7030272,939425810.8085938,942816368.0796024,942810418.3203125,942810418.3203125
