tau_mid,N_2,N_4,N_8,N_16
0.35,14914955.3226509,14927438.2137567,14930566.3662686,14931348.8702968
0.85,14823620.2005975,14887775.6555079,14903959.3919181,14908014.4841958
1.35,14698014.3045028,14854604.5130653,14894575.4562094,14904620.9716608
1.85,14522385.4486185,14808344.6490674,14882577.0011529,14901314.3822937
2.35,14301450.7717055,14748622.0091663,14867224.0194063,14897331.0043262
2.85,14041480.1764356,14675786.9649527,14848401.3341889,14892524.7968983
3.35,13749320.0489492,14590388.7139389,14826104.1057795,14886853.078177
3.85,13431894.310083,14493087.0683296,14800362.3205508,14880301.2634702
4.35,13095839.5892892,14384620.3593803,14771222.4942919,14872864.8447223
4.85,12747247.8254286,14265785.0257401,14738741.735374,14864543.749257
5.35,12391507.9630814,14137418.7471086,14702985.2571119,14855340.2059568
5.85,12033232.7804898,14000385.0252639,14664025.094737,14845257.8484522
6.35,11676252.0797177,13855559.1530472,14621939.2989439,14834301.2579475
6.85,11323652.6025026,13703815.4140995,14576811.2807038,14822475.7811294
7.35,10977846.917736,13546015.7099281,14528729.2440732,14809787.3609626
7.85,10640656.9818592,13382999.810024,14477785.6939028,14796242.4897758
8.35,10313401.8959477,13215577.0763889,14424076.9071393,14781848.166552
8.85,9996982.78846755,13044519.864592,14367702.4639926,14766611.8053074
9.35,9691960.74753499,12870558.3989878,14308764.7482727,14750541.2983445
9.85,9398625.52200581,12694377.0782074,14247368.4925714,14733644.9324282
10.35,9117054.59342962,12516612.0923729,14183620.296969,14715931.3758151
10.85,8847162.53846487,12337850.167744,14117628.2151535,14697409.6822192
11.35,8588741.90129441,12158628.2907855,14049501.2779777,14678089.2888413
11.85,8341496.07724014,11979434.3019849,13979349.0941254,14657979.9443361
12.35,8105065.84227398,11800708.1077793,13907281.4638008,14637091.7605961
12.85,7879050.08931554,11622843.4720474,13833407.9738694,14615435.1358963
13.35,7663022.15834828,11446190.1774443,13757837.6610611,14593020.8334631
13.85,7456542.32474627,11271056.4768193,13680678.6497281,14569859.7978447
14.35,7259167.29867111,11097711.7655967,13602037.9204776,14545963.3795672
