n,E_f_T,E_B_T,sgn_T,E_f_H,E_B_H,sgn_H
0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.5894254898386464,0.5894254897942375,0.9999999997779554,0.618206031334674,0.6182060312555706,0.999999999604483
2,1.5579134031273865,1.0875760782180777,0.09520844581778345,2.3433251268802424,1.505536766885536,0.015162321155401297
3,2.640136033660312,1.5684552686412443,0.004708415567552783,4.2710341875170155,2.3621028248268017,7.158272289595776e-05
4,4.015260476597504,2.0462226323569865,5.300155945304884e-05,6.720474601498889,3.213125941445467,2.4204112014416096e-08
5,5.496340012944855,2.523530957132536,3.504508813612991e-07,9.358647525617608,4.0633313949519145,3.1722479294895837e-12
6,7.0903210301676,3.0007791767427956,1.3172636200601652e-09,12.197926212545623,4.91342978613269,1.5202569336054427e-16
7,8.891403583666246,3.478020107783308,1.7578715603791676e-12,15.406104510965086,5.763515194548603,1.1518166260098834e-21
8,10.798019443702955,3.955260200916299,1.3840032161179264e-15,18.802264011655474,6.6135991104417435,3.409184130567467e-27
9,12.787531255176175,4.432500200968192,7.199139434172417e-19,22.346081925842146,7.463682860534178,4.822597784248268e-33
10,14.881523689913577,4.909740191072487,2.220993352004509e-22,26.076005950218143,8.313766592907452,2.6902169481035104e-39
11,17.126632862263236,5.386980179755696,3.218608120233021e-26,30.075106663465974,9.163850322749418,3.90646383257416e-46
12,19.470833709211988,5.864220169149447,2.8419348047953498e-30,34.25071442209344,10.013934053857037,2.3469299915210505e-53
13,21.888804333647368,6.34146015889847,1.7352860811082244e-34,38.55772459686896,10.864017785597484,7.309366561250996e-61
14,24.380797722889366,6.818700148292222,7.317953802966005e-39,42.99658782145627,11.714101516705105,1.1774543762100009e-68
15,26.965957775493262,7.2959401366201595,1.936865228138882e-43,47.60140416515696,12.564185245914244,8.272672098862362e-77
16,29.667192373628023,7.773180127079725,2.8691712671216685e-48,52.4129782930845,13.414268978920346,2.0671820135094875e-85
