tau,N_2,N_20,N_200
0.05,5631.722444093954,5632.1268787920935,5632.1309236143
0.1,5157.909462517221,5159.471582006061,5159.48721053272
0.15,5066.288806762753,5069.78099959109,5069.815958367243
0.2,5032.411640876853,5038.602367495809,5038.664390845332
0.25,5014.608941706822,5024.26281222759,5024.35963370772
0.3,5002.63453690581,5016.511284857293,5016.650637525077
0.35,4992.996158867828,5011.849596702239,5012.039213010616
0.4,4984.2453948908305,5008.822391580604,5009.070003268705
0.45,4975.697698419077,5006.737183435889,5007.050521419282
0.5,4966.998703998604,5005.230701202461,5005.617495463447
0.55,4957.952972370372,5004.097667112004,5004.565646589928
0.6,4948.448233521652,5003.2150760226605,5003.77196850428
0.65,4938.418788497619,5002.505636316182,5003.159168326073
0.7,4927.826533162278,5001.918835280541,5002.676731971552
0.75,4916.650527355828,5001.420552141404,5002.290537185165
0.8,4904.880970733771,5000.987079735154,5001.976875212647
0.85,4892.515571248737,5000.601540486004,5001.718866778193
0.9,4879.557271036835,5000.251661147782,5001.504236826307
0.95,4866.01277213958,4999.928348440328,5001.323890158267
1.0,4851.89154940094,4999.624752622026,5001.170975004747
1.05,4837.2051689398695,4999.3356371064065,5001.040252642481
1.1,4821.966803413756,4999.056945053986,5000.927663986191
1.15,4806.1908771044455,4998.785495697173,5000.8300259135885
1.2,4789.892798589982,4998.518767899923,5000.744814825107
1.25,4773.088753781784,4998.254743484654,5000.670009970928
1.3,4755.795541442825,4997.991792210427,5000.603978429249
1.35,4738.030439230789,4997.72858623179,5000.5453895652445
1.4,4719.811092147695,4997.464035723075,5000.4931506554585
1.45,4701.155417804357,4997.1972398984435,5000.446357907975
1.5,4682.081524597951,4996.92744936697,5000.404258817607
1.55,4662.607640046524,4996.654036926888,5000.366222960268
1.6,4642.752047310453,4996.376474708579,5000.331719136095
1.65,4622.533028476014,4996.094316140116,5000.300297335102
1.7,4601.96881355762,4995.807181609203,5000.2715743992785
1.75,4581.077534444258,4995.514746982434,5000.2452225419565
1.8,4559.8771832062885,4995.216734350729,5000.220960093412
1.85,4538.385574314621,4994.912904522243,5000.198543993907
1.9,4516.620310421313,4994.603050896558,5000.177763668038
1.95,4494.598751420028,4994.286994437967,5000.158435998166
2.0,4472.337986554562,4993.964579528758,5000.140401177862
2.05,4449.854809379071,4993.635670531273,5000.12351927413
2.1,4427.165695399118,4993.300148924006,5000.107667363662
2.15,4404.286782240699,4992.957910905111,5000.092737136524
2.2,4381.233852207369,4992.608865378396,5000.07863288232
2.25,4358.022317094806,4992.252932253856,5000.065269790892
2.3,4334.667205138895,4991.8900410079805,5000.052572512827
2.35,4311.183149978355,4991.520129459644,5000.040473935513
2.4,4287.584381516746,4991.143142725531,5000.028914138767
2.45,4263.8847185717605,4990.7590323258,5000.017839500675
2.5,4240.097563202442,4990.367755415822,5000.007201929544
2.55,4216.235896607356,4989.969274124212,4999.996958202119
2.6,4192.312276489275,4989.563554980715,4999.987069391683
2.65,4168.338835784343,4989.150568420348,4999.977500372395
2.7,4144.3272826563625,4988.730288352436,4999.968219388549
2.75,4120.288901659578,4988.302691785066,4999.959197679239
2.8,4096.23455597627,4987.867758497003,4999.950409150488
2.85,4072.174690638613,4987.425470750357,4999.941830088146
2.9,4048.1193366474845,4986.975813038357,4999.933438905889
2.95,4024.0781159043463,4986.518771863426,4999.925215923524
3.0,4000.060246875861,4986.054335541502,4999.917143171549
3.05,3976.0745509145313,4985.582494029125,4999.90920421847
3.1,3952.129459162355,4985.103238770329,4999.9013840179505
3.15,3928.233019968252,4984.616562560813,4999.893668773212
3.2,3904.3929067537747,4984.122459427187,4999.886045816546
3.25,3880.6164262654006,4983.620924519451,4999.878503502043
3.3,3856.910527155416,4983.111954015052,4999.871031109901
3.35,3833.2818088371328,4982.595545033147,4999.863618760965
3.4,3809.736530563771,4982.071695557843,4999.856257340224
3.45,3786.28062068391,4981.540404369365,4999.848938428254
3.5,3762.919686029847,4981.00167098223,4999.841654239658
3.55,3739.659021398556,4980.455495589627,4999.834397567738
3.6,3716.5036190881497,4979.901879013308,4999.827161734658
3.65,3693.458178455863,4979.340822658367,4999.819940546511
3.7,3670.527115466524,4978.772328472378,4999.812728252748
3.75,3647.7145722033233,4978.196398908417,4999.8055195094885
3.8,3625.0244263153822,4977.613036891547,4999.798309346305
3.85,3602.4603003791567,4977.022245788396,4999.791093136106
3.9,3580.025571153141,4976.424029379522,4999.783866567796
3.95,3557.7233787075957,4975.81839183426,4999.776625621433
4.0,3535.5566354131383,4975.205337687793,4999.769366545612
