tau,N_2,N_4,N_8,N_16
0.25,17649.69517,17649.69545,17649.69546,17649.69547
0.590909091,15868.59151,15868.59964,15868.60014,15868.60018
0.931818182,15618.91855,15618.9681,15618.97121,15618.9714
1.272727273,15540.09111,15540.26226,15540.27303,15540.2737
1.613636364,15505.35739,15505.79658,15505.82432,15505.82606
1.954545455,15486.76255,15487.70095,15487.76052,15487.76426
2.295454545,15475.25056,15477.0209,15477.13396,15477.14106
2.636363636,15467.1141,15470.1657,15470.3619,15470.37425
2.977272727,15460.55338,15465.46498,15465.7832,15465.80327
3.318181818,15454.56238,15462.0527,15462.54216,15462.5731
3.659090909,15448.50428,15459.44007,15460.16145,15460.20716
4,15441.92957,15457.33114,15458.35759,15458.42281
4.340909091,15434.49122,15455.53536,15456.95351,15457.04387
4.681818182,15425.90263,15453.92298,15455.83385,15455.95598
5.022727273,15415.91596,15452.4009,15454.92076,15455.08235
5.363636364,15404.31081,15450.89892,15454.16005,15454.36993
5.704545455,15390.88818,15449.36156,15453.51302,15453.7812
6.045454545,15375.46758,15447.74308,15452.95129,15453.2891
6.386363636,15357.88555,15446.00425,15452.4536,15452.87368
6.727272727,15337.99521,15444.11031,15452.00362,15452.52004
7.068181818,15315.66616,15442.02959,15451.58852,15452.21684
7.409090909,15290.78462,15439.7326,15451.19797,15451.95528
7.75,15263.25358,15437.19139,15450.82342,15451.72843
8.090909091,15232.99289,15434.37914,15450.45762,15451.53073
8.431818182,15199.93926,15431.26992,15450.0943,15451.3576
8.772727273,15164.04612,15427.83848,15449.72786,15451.20524
9.113636364,15125.28333,15424.06019,15449.35323,15451.07044
9.454545455,15083.63672,15419.91097,15448.96575,15450.95042
9.795454545,15039.10754,15415.36728,15448.56107,15450.84278
10.13636364,14991.71171,15410.40612,15448.13509,15450.74541
10.47727273,14941.47904,15405.00508,15447.6839,15450.65644
10.81818182,14888.45226,15399.14235,15447.20377,15450.57424
11.15909091,14832.68605,15392.79678,15446.69112,15450.49733
11.5,14774.24598,15385.94789,15446.14248,15450.42443
11.84090909,14713.20746,15378.57594,15445.5545,15450.35438
12.18181818,14649.65458,15370.66194,15444.9239,15450.28614
12.52272727,14583.67902,15362.18773,15444.2475,15450.21879
12.86363636,14515.37901,15353.13596,15443.52218,15450.15152
13.20454545,14444.8582,15343.49016,15442.74486,15450.08358
13.54545455,14372.22467,15333.23477,15441.91254,15450.01431
13.88636364,14297.58998,15322.35512,15441.02223,15449.9431
14.22727273,14221.06818,15310.83753,15440.071,15449.8694
14.56818182,14142.77504,15298.66926,15439.05593,15449.79271
14.90909091,14062.82717,15285.83855,15437.97413,15449.71257
15.25,13981.34135,15272.33466,15436.82274,15449.62854
