tau,N_2,N_4,N_8,N_16
0.25,17650.36439453882,17649.862329646312,17649.737158951324,17649.70588789409
0.5909090909090909,15869.420264536291,15868.794337625463,15868.648035544496,15868.612099689248
0.9318181818181818,15620.103351954214,15619.188437819861,15619.021495679219,15618.983673623441
1.2727272727272727,15542.270967668368,15540.547385293195,15540.327717390568,15540.2863327291
1.6136363636363635,15509.695508847728,15506.221934758238,15505.888026985924,15505.839300877478
1.9545454545454546,15495.061277257546,15488.387022240695,15487.840813721872,15487.778558232583
2.2954545454545454,15490.042841050059,15478.142506532387,15477.241980567676,15477.157101827717
2.6363636363636362,15491.726071144796,15471.960762736555,15470.513009243648,15470.392988824482
2.977272727272727,15499.137592443152,15468.242666410775,15465.99759746204,15465.82597864878
3.3181818181818183,15512.103335207727,15466.20070060238,15462.845508492503,15462.60139481626
3.659090909090909,15530.799365698555,15465.431066748017,15460.585482077746,15460.243051407904
4.0,15555.549316131479,15465.728327355422,15458.94071429863,15458.468750700933
4.340909090909091,15586.723216874685,15466.997044537608,15457.741353085252,15457.10279824219
4.681818181818182,15624.683506934025,15469.20623350708,15456.879812177845,15456.03133786397
5.0227272727272725,15669.755526629417,15472.364268886422,15456.286525933496,15455.17812868469
5.363636363636363,15722.2119407812,15476.50422021751,15455.91610710231,15454.490725824951
5.704545454545454,15782.265654058758,15481.674810484019,15455.739088868566,15453.932245783542
6.045454545454546,15850.06812067333,15487.93456092291,15455.73680407817,15453.47626916094
6.386363636363637,15925.711120214888,15495.347827352793,15455.898098860771,15453.103577851502
6.7272727272727275,16009.23071511903,15503.982011555136,15456.217158431211,15452.80000453129
7.068181818181818,16100.612496736994,15513.905536473289,15456.692030140308,15452.554979639826
7.409090909090909,16199.797487468579,15525.186340804054,15457.323597436107,15452.360529680342
7.75,16306.688251763322,15537.890742494894,15458.11485382776,15452.210576080035
8.090909090909092,16421.154906086722,15552.082574992892,15459.070381493138,15452.100439345071
8.431818181818182,16543.040821383976,15567.822532313987,15460.195972361345,15452.026486348668
8.772727272727273,16672.167889487737,15585.167678598385,15461.498349863126,15451.985878852603
9.113636363636363,16808.34128288562,15604.171090072405,15462.984962409619,15451.976394136638
9.454545454545455,16951.35367946293,15624.881605252267,15464.66382808417,15451.996296966663
9.795454545454545,17100.988953613647,15647.343664535501,15466.543415777729,15452.044247846767
10.136363636363637,17257.025355230886,15671.597224039235,15468.632552081965,15452.119236590706
10.477272727272727,17419.238210831798,15697.677731250791,15470.94034625474,15452.220533284864
10.818181818181818,17587.402188312382,15725.61615209984,15473.47612781635,15452.347651012395
11.159090909090908,17761.293170068962,15755.439040650223,15476.249393013948,15452.500316444228
11.5,17940.689779653072,15787.168643872777,15479.26975762851,15452.678445690715
11.840909090909092,18125.374605661553,15820.823034983627,15482.546914485458,15452.882123733945
12.181818181818182,18315.135163896903,15856.416269676778,15486.090594643123,15453.111586400446
12.522727272727273,18509.764635475476,15893.958560290102,15489.910531638836,15453.367204255088
12.863636363636363,18709.06241487991,15933.456463553925,15494.016428427232,15453.649468059059
13.204545454545455,18912.83449820338,15974.913078106045,15498.417926795697,15453.958975587024
13.545454545454545,19120.893738187337,16018.32824843418,15503.124579123418,15454.296419679584
13.886363636363637,19333.059989218942,16063.698772338237,15508.145822389479,15454.66257744459
14.227272727272727,19549.16016229199,16111.018609398763,15513.490954350093,15455.058300534556
14.568181818181818,19769.02820707417,16160.279088298606,15519.169111807007,15455.484506429028
14.909090909090908,19992.505035671962,16211.469111175675,15525.189250885778,15455.942170648144
15.25,20219.4384004336,16264.575353486589,15531.560129237952,15456.432319820726
