tau,N_2,N_4,N_8,N_16
0.25,11319.871956943876,11335.6787805547,11339.641358423582,11340.632684566894
0.5909090909090909,10576.9243543397,10661.873543200614,10683.435807165406,10688.84704668959
0.9318181818181818,10327.312124921433,10531.834787812191,10584.90068016872,10598.293469982442
1.2727272727272727,10078.417825375309,10444.157789892377,10542.002625209334,10566.897497888023
1.6136363636363635,9797.101177403807,10354.931579788506,10509.961849474412,10549.821269010097
1.9545454545454546,9486.02474980279,10255.520023535879,10479.068837815581,10537.280315726764
2.2954545454545454,9153.988231108679,10144.115398930642,10446.282241123794,10526.142257097066
2.6363636363636362,8810.299120853972,10020.921431986631,10410.460052881734,10515.159105851462
2.977272727272727,8463.1271562557,9886.898058169849,10371.15268560062,10503.761663552914
3.3181818181818183,8119.015277075928,9743.323023837187,10328.209935178058,10491.667868084229
3.659090909090909,7782.857843689903,9591.598663606977,10281.627976078536,10478.73118640783
4.0,7458.083525480376,9433.150100698373,10231.481307114376,10464.873962181942
4.340909090909091,7146.912789113166,9269.36505600523,10177.88921607957,10450.055281596602
4.681818181818182,6850.621632300609,9101.556360798364,10120.997834054897,10434.254424716677
5.0227272727272725,6569.778402519626,8930.938809496874,10060.969875433002,10417.462006859696
5.363636363636363,6304.44109025321,8758.615993683541,9997.978494853118,10399.67525814535
5.704545454545454,6054.313735684565,8585.574415346682,9932.203492270804,10380.895673094887
6.045454545454546,5818.866012592296,8412.682936904655,9863.828854730149,10361.127985973018
6.386363636363637,5597.422069096237,8240.696053204503,9793.040993881412,10340.379777969241
6.7272727272727275,5389.224903841462,8070.259784737814,9720.027294595577,10318.66128654153
7.068181818181818,5193.4819102015845,7901.919255327474,9644.974790700999,10295.985210717123
7.409090909090909,5009.3962772036775,7736.127238630923,9568.068916116046,10272.366457712755
7.75,4836.187974163844,7573.2531357339985,9489.49234282416,10247.821848488895
8.090909090909092,4673.1071911182125,7413.591986329886,9409.423932771477,10222.369817133536
8.431818181818182,4519.442399862133,7257.373226750991,9328.037824117488,10196.030131201356
8.772727272727273,4374.524640336832,7104.768996419152,9245.502660153954,10168.823646878836
9.113636363636363,4237.72920625293,6955.901864667729,9161.980959089216,10140.77210236847
9.454545454545455,4108.475579036531,6810.851905233624,9077.628616529935,10111.897946808118
9.795454545454545,3986.2262179083855,6669.663088120863,8992.594529288923,10082.224199429676
10.136363636363637,3870.4846366743122,6532.348989884649,8907.020328009075,10051.774333144867
10.477272727272727,3760.79306877194,6398.897845514576,8821.040206109214,10020.572177263344
10.818181818181818,3656.7299288828917,6269.2769797779865,8734.78083313745,9988.641834947824
11.159090909090908,3557.9072125124617,6143.436664746946,8648.361341429947,9956.007611952376
11.5,3463.967927253456,6021.313454699469,8561.89337585123,9922.693954023704
11.840909090909092,3374.58361571689,5902.833050852017,8475.481197262518,9888.725391024996
12.181818181818182,3289.4520064541366,5787.912747409895,8389.221831199402,9854.126486369683
12.522727272727273,3208.294812781594,5676.463507969648,8303.205254032187,9818.921790749217
12.863636363636363,3130.8556881910326,5568.391717945034,8217.514609632071,9783.13579943135
13.204545454545455,3056.898339494785,5463.600654838103,8132.226450275478,9746.792912616547
13.545454545454545,2986.204793937625,5361.9917141413625,8047.410996189602,9709.917398491356
13.886363636363637,2918.573813430587,5263.465424644407,7963.132408774128,9672.533358723744
14.227272727272727,2853.819447268863,5167.922283066415,7879.4490731279975,9634.664696219586
14.568181818181818,2791.769713787318,5075.263434329268,7796.413886064365,9596.335085010069
14.909090909090908,2732.2654010984456,4985.391220471473,7714.074546311785,9557.567942173891
15.25,2675.158977146503,4898.209618200243,7632.473844074079,9518.38640172032
