tau,N_2,N_4
0.25,17649.695480937862,17649.695467055935
0.5909090909090909,15868.600274606833,15868.600184052157
0.9318181818181818,15618.971665580224,15618.971431004891
1.2727272727272727,15540.274226898906,15540.273778378936
1.6136363636363635,15505.8269640225,15505.826228450085
1.9545454545454546,15487.76568866338,15487.764582347547
2.2954545454545454,15477.143228208633,15477.141634684505
2.6363636363636362,15470.377484339842,15470.375206473009
2.977272727272727,15465.808112892106,15465.80478530782
3.3181818181818183,15462.580442069811,15462.575387236015
3.659090909090909,15460.218474712556,15460.21048396531
4.0,15458.440481907583,15458.427501604943
4.340909090909091,15457.071634114818,15457.050337147595
4.681818181818182,15455.999470969562,15455.964695152004
5.0227272727272725,15455.149829207186,15455.093866613503
5.363636363636363,15454.473186686542,15454.384911686093
5.704545454545454,15453.93659875481,15453.800427148064
6.045454545454546,15453.51877425291,15453.313451285092
6.386363636363637,15453.206982489537,15452.904203345419
6.7272727272727275,15452.995063100509,15452.557935467134
7.068181818181818,15452.882118245236,15452.263482372393
7.409090909090909,15452.871635645433,15452.012262754455
7.75,15452.970887049194,15451.797581687631
8.090909090909092,15453.190503051163,15451.614138855644
8.431818181818182,15453.544159303567,15451.45768045934
8.772727272727273,15454.048330507863,15451.324752884622
9.113636363636363,15454.722082478878,15451.212528946677
9.454545454545455,15455.58688203474,15451.118685854452
9.795454545454545,15456.666411206576,15451.041319738832
10.136363636363637,15457.986377252895,15450.97888567735
10.477272727272727,15459.574313740875,15450.930155194548
10.818181818181818,15461.45937081526,15450.894185529816
11.159090909090908,15463.672094888398,15450.870296716828
11.5,15466.244199472676,15450.858053820351
11.840909090909092,15469.208329841587,15450.857252612139
12.181818181818182,15472.597824744007,15450.867907612788
12.522727272727273,15476.44647860006,15450.890241849662
12.863636363636363,15480.788307559806,15450.924677943049
13.204545454545455,15485.657322580664,15450.971830284083
13.545454545454545,15491.087312337017,15451.032498147812
13.886363636363637,15497.111638363102,15451.107659621926
14.227272727272727,15503.76304438572,15451.19846624544
14.568181818181818,15511.073481353149,15451.306238254569
14.909090909090908,15519.073949231082,15451.432460332577
15.25,15527.79435622882,15451.578777760094
