tau,N_200
5.0,15454.843901675806
5.666666666666667,15453.471306951013
6.333333333333333,15452.477045572035
7.0,15451.723182580134
7.666666666666667,15451.130128364088
8.333333333333334,15450.648859141706
9.0,15450.247061981356
9.666666666666666,15449.902044218354
10.333333333333334,15449.597083529885
11.0,15449.319516658177
11.666666666666666,15449.059667945497
12.333333333333334,15448.810165290104
13.0,15448.565439029282
13.666666666666666,15448.321323317488
14.333333333333334,15448.074731791696
15.0,15447.823396323745
