n_vals,runtimes
0,2.375000121901394e-06
250,0.012403421999806596
500,0.054716195000082735
750,0.1275769510000373
1000,0.22950211099987428
1250,0.370869963000132
1500,0.550866778999989
1750,0.6976708400000007
2000,0.9039529130000119
2250,1.1661240359999283
2500,1.4463141440000982
2750,1.7504821439999887
3000,2.0814421039999615
3250,2.4245229050000034
3500,2.8075088220000453
3750,3.190489849000187
4000,3.6930104979999214
4250,4.086565022000059
4500,4.623502614000017
4750,5.178329133999796
5000,5.743171157999996
