tau_mid,Energy_Thermodynamic,Energy_Hamiltonian
0.35,1229.5946503082537,1230.7714108134383
0.85,972.4239985750819,977.9128762232867
1.35,943.3913250598762,956.8235960748885
1.85,926.1770639949282,950.9414468193237
2.35,909.6263683853977,948.8717716620257
2.85,891.8726420736093,948.4682321926947
3.35,872.6507459970744,949.1610819107631
3.85,852.1214879791987,950.7978220071024
4.35,830.5749536378062,953.3605361394577
4.85,808.328836717279,956.8750481366711
5.35,785.6863433216276,961.3762445850906
5.85,762.9175114174577,966.8936405931134
6.35,740.2518061150258,973.4455830843472
6.85,717.8768741472086,981.0376368594926
7.35,695.9407630692876,989.6631058264014
7.85,674.5559646135953,999.3045968745431
8.35,653.8042343693742,1009.9359978913952
8.85,633.7415303490998,1021.5245069957198
9.35,614.4026825380643,1034.0325146801263
9.85,595.805589355572,1047.419243990345
10.35,577.9548575802328,1061.642117198502
10.85,560.8448771617113,1076.6578541278798
11.35,544.4623652913579,1092.4233266409358
11.85,528.7884357018193,1108.8962022044655
12.35,513.8002572002879,1126.0354113317792
12.85,499.4723653324472,1143.8014719309394
13.35,485.7776864936459,1162.1567000179725
13.85,472.688327122989,1181.065332041345
14.35,460.1761732633895,1200.4935798167514
