tau_mid,N_2,N_4,N_8,N_16
0.35,17567.707326024192,17568.341038395454,17568.504336432277,17568.545466413583
0.85,15670.828602640593,15671.716127014804,15672.000603343531,15672.075690484526
1.35,15533.126254901088,15532.704737057382,15532.912872733372,15532.98512302031
1.85,15497.10283110521,15493.009147167468,15492.97758205411,15493.03519574771
2.35,15488.457458468,15476.67009447218,15476.116456007408,15476.14099537542
2.85,15494.392609885857,15468.993971705571,15467.478873036309,15467.441561342868
3.35,15512.49609864255,15465.628138619068,15462.525826548037,15462.384952958497
3.85,15543.042320890861,15465.020546694572,15459.495380527867,15459.193963739537
4.35,15587.058019816097,15466.605704986809,15457.59440783426,15457.058018754928
4.85,15645.670808725643,15470.230608741465,15456.430363778245,15455.56509661321
5.35,15719.853612326422,15475.935670664685,15455.797981265116,15454.488578049502
5.85,15810.325810409859,15483.858138781867,15455.588183885946,15453.696316696598
6.35,15917.528153623853,15494.184040716831,15455.745090481632,15453.107803742898
6.85,16041.635336664096,15507.121658618527,15456.243992264694,15452.672305542776
7.35,16182.587365973302,15522.885595487915,15457.079284876128,15452.356957955824
7.85,16340.128782987042,15541.686602706124,15458.257486932644,15452.139951096233
8.35,16513.849219258806,15563.724858796491,15459.793031042496,15452.006491778138
8.85,16703.221527894562,15589.185501692076,15461.705647828821,15451.94636565355
9.35,16907.635547973412,15618.23573511847,15464.018699900887,15451.95245376816
9.85,17126.42673071629,15651.023085644825,15466.758092443873,15452.019827802807
10.35,17358.89957866532,15687.674525747001,15469.951534132691,15452.145193157236
10.85,17604.346265162785,15728.296255686297,15473.6280077346,15452.326535765826
11.35,17862.06100335289,15772.973987282181,15477.817365425582,15452.562885449861
11.85,18131.350805873153,15821.773608124993,15482.549999415376,15452.854143422293
12.35,18411.543267175428,15874.742127440368,15487.856560577915,15453.200947434863
12.85,18701.99194536217,15931.90882366625,15493.767710627766,15453.604558589544
13.35,19002.07985058709,15993.286528515016,15500.313901805031,15454.066765329231
13.85,19311.221464819,16058.872992289074,15507.525181212774,15454.589799386235
14.35,19628.8636475888,16128.652288017736,15515.431016432723,15455.17626384386
