tau_mid,N_4
0.35,14931009.725153336
0.85,14908784.295054717
1.35,14907480.540438475
1.85,14907332.097181419
2.35,14907702.642883478
2.85,14908607.483716251
3.35,14910194.71179866
3.85,14912664.851842053
4.35,14916247.371523106
4.85,14921189.302802373
5.35,14927747.53700745
5.85,14936182.408352003
6.35,14946752.276612435
6.85,14959708.74638714
7.35,14975292.57198237
7.85,14993730.353006395
8.35,15015231.79829725
8.85,15039987.764632087
9.35,15068168.872169305
9.85,15099924.702572105
10.35,15135383.528863123
10.85,15174652.464675825
11.35,15217817.969883397
11.85,15264946.702439245
12.35,15316086.528050205
12.85,15371267.75536547
13.35,15430504.442608884
13.85,15493795.771522887
14.35,15561127.491945982
