tau_mid,N_2,N_4,N_8,N_16
0.03,947434104.8687551,947436968.657384,947437685.3019042,947437864.5679505
0.07,943322088.5033779,943324979.0741385,943325704.7363026,943325886.1635696
0.11,943004162.7038219,943006997.1230693,943007718.7530273,943007900.3215431
0.15,942910788.571467,942913458.1096376,942914170.9782928,942914351.351998
0.19,942871070.9881845,942873386.4374181,942874076.4166399,942874256.2931758
0.23,942850922.9868326,942852580.0841368,942853228.9417952,942853406.220138
0.27,942839871.0152041,942840431.2598913,942841011.6487797,942841183.5637838
0.31000000000000005,942833905.183676,942832767.6586726,942833240.2559936,942833404.7911164
0.35,942260623.9139565,942696173.8600031,942809676.4657121,942838344.9188777
0.85,942531928.4949627,942680947.7295188,942775694.8816783,942803179.4170468
1.35,943799785.5594375,942766633.4521266,942779134.1330699,942801331.6167538
1.85,947001906.2314217,943006235.9181885,942794284.9308232,942801701.3760566
2.35,953083208.4656838,943509368.7740667,942828099.6543031,942803609.3274273
2.85,962747645.2255001,944402103.2368481,942890683.9586943,942807516.6576694
3.35,976380167.3877397,945815070.6401583,942994191.3358318,942814194.8231342
3.85,994075547.1385325,947873527.3503376,943152401.475021,942824615.0204525
4.35,1015714980.1020639,950689665.6436453,943380313.5778397,942839903.7781334
4.85,1041047433.0284051,954357540.824846,943693810.5953864,942861320.4587266
5.35,1069755233.0018431,958950493.8512601,944109278.9657425,942890259.9624032
5.85,1101499495.7654653,964520641.9105613,944643264.9216481,942928241.1557341
6.35,1135948122.6496098,971099970.3734756,945312158.1761686,942976870.3405509
6.85,1172791050.5112789,978702424.9333218,946131905.83667,943037865.8303484
7.35,1211747214.0894337,987326553.2952169,947117762.2121397,943113022.0740007
7.85,1252566507.048315,996958262.8530247,948284053.2974181,943204214.1640023
8.35,1295028908.3987305,1007573599.2333843,949644084.1326855,943313373.379243
8.85,1338942146.2876582,1019141170.3301375,951209907.4634559,943442481.3938054
9.35,1384138921.114875,1031624313.8845091,952992334.7165741,943593561.3127624
9.85,1430473793.458531,1044982933.5082092,955000829.6224461,943768682.5904397
10.35,1477820470.9166737,1059174924.9080659,957243489.122085,943969868.1641989
10.85,1526069073.386583,1074157357.4286387,959727149.1673387,944199260.3233316
11.35,1575124050.4055612,1089887373.7997878,962457207.068327,944458847.200513
11.85,1624901895.3577955,1106322868.6750078,965437905.0658923,944750766.9088211
12.35,1675329658.1022017,1123422971.8177166,968672309.7035156,945077021.3053318
12.85,1726343362.0625405,1141148244.6918495,972162280.9777555,945439612.540073
13.35,1777886813.0932543,1159461301.5900474,975908755.4368889,945840520.0583594
13.85,1829910359.744633,1178326348.6733088,979911658.3434163,946281623.3470379
14.35,1882370273.6410544,1197709765.2899868,984170084.5401134,946764885.4978056
