tau_mid,N_2,N_4,N_8,N_16
0.35,14929229.4216886,14931009.7251533,14931459.4312239,14931572.1482309
0.85,14907292.6308295,14908784.2950547,14909217.2611626,14909329.3091481
1.35,14907288.8364582,14907480.5404385,14907830.0329339,14907936.8507022
1.85,14910689.1776605,14907332.0971814,14907447.9161314,14907539.9392541
2.35,14918480.3002316,14907702.6428835,14907313.9923436,14907373.7936982
2.85,14932511.0016452,14908607.4837163,14907291.0640989,14907290.9785344
3.35,14954802.6478901,14910194.7117987,14907347.2643556,14907247.089973
3.85,14987318.432305,14912664.8518421,14907480.6875922,14907225.4958417
4.35,15031824.4712593,14916247.3715231,14907701.2608698,14907219.317718
4.85,15089803.9458439,14921189.3028024,14908024.9976584,14907225.7928661
5.35,15162414.1301331,14927747.5370075,14908471.7208905,14907244.1440151
5.85,15250477.8419486,14936182.408352,14909064.0087328,14907274.6866261
6.35,15354500.0475252,14946752.2766124,14909826.633065,14907318.3760583
6.85,15474700.735378,14959708.7463871,14910786.1620805,14907376.6304701
7.35,15611056.396287,14975292.5719824,14911970.6616023,14907451.1666119
7.85,15763344.2425919,14993730.3530064,14913409.4805543,14907543.9585895
8.35,15931185.1346711,15015231.7982973,14915133.0046561,14907657.2011329
8.85,16114082.6451833,15039987.7646321,14917172.4747021,14907793.2237228
9.35,16311457.1693274,15068168.8721693,14919559.774008,14907954.5610941
9.85,16522674.3857486,15099924.7025721,14922327.2608711,14908143.875748
10.35,16747068.6311728,15135383.5288631,14925507.5699799,14908363.95206
10.85,16983961.0881629,15174652.4646758,14929133.4787663,14908617.7078288
11.35,17232674.184667,15217817.9698834,14933237.7006391,14908908.2001762
11.85,17492541.9198122,15264946.7024392,14937852.7497472,14909238.5605213
12.35,17762917.7649946,15316086.5280502,14943010.8091561,14909612.0553883
12.85,18043179.7438242,15371267.7553655,14948743.5668384,14910032.0167456
13.35,18332734.0351628,15430504.4426089,14955082.1108109,14910501.9307458
13.85,18631016.9333808,15493795.7715229,14962056.7822439,14911025.2591722
14.35,18937495.7679452,15561127.491946,14969697.1556251,14911605.6778719
