tau_mid,N_2,N_4,N_8,N_16
0.35,17550.889874531782,17564.133498876126,17567.452252542353,17568.282433002325
0.85,15582.828070984395,15649.621618246678,15666.471024126256,15670.692922833854
1.35,15314.99655522725,15477.593011845434,15519.09797087103,15529.529074642267
1.85,15093.42801198493,15390.105807183563,15467.122934748078,15486.563405111363
2.35,14847.720721886992,15311.480507235097,15434.487118393154,15465.71259429494
2.85,14569.666001800726,15227.372262081577,15406.36305136666,15452.117205539227
3.35,14261.854840392036,15133.844673988935,15378.239823942833,15441.227099665855
3.85,13929.704240262516,15029.822059322882,15348.388596160594,15431.267197838286
4.35,13579.289507634363,14915.266642862083,15316.05420326938,15421.429386645985
4.85,13216.515197404227,14790.595136120115,15280.886737583223,15411.304438388694
5.35,12846.7401111318,14656.450155639355,15242.72802045233,15400.668854838126
5.85,12474.611520049315,14513.594282576576,15201.520270733146,15389.393932004034
6.35,12104.015854841267,14362.853065320429,15157.26284945857,15377.402918592801
6.85,11738.098620598983,14205.080178386295,15109.989966451181,15364.649147820748
7.35,11379.324213881744,14041.133952618495,15059.758334578935,15351.104126601376
7.85,11029.555960167938,13871.860547298802,15006.639905291704,15336.75071570306
8.35,10690.14317381319,13698.08150647794,14950.717372607776,15321.579087834773
8.85,10362.006788913908,13520.584512426913,14892.08126692442,15305.58428522384
9.35,10045.71858598257,13340.116633834203,14830.827996539718,15288.764731027344
9.85,9741.571492882262,13157.379596757339,14767.05846494427,15271.121318594562
10.35,9449.640079575309,12973.026726382453,14700.877039472096,15252.65684767388
10.85,9169.831395279678,12787.661273095688,14632.390732977094,15233.375663545907
11.35,8901.926880404333,12601.835879761917,14561.708515956207,15213.283412054441
11.85,8645.616370418991,12416.052979825832,14488.94071196816,15192.386858359518
12.35,8400.525299021207,12230.765939921903,14414.198451012495,15170.693743049504
12.85,8166.236180806261,12046.38078342276,14337.593168045483,15148.21265978424
13.35,7942.30536567722,11863.258352001418,14259.236141796846,15124.952950024901
13.85,7728.275937170456,11681.716780089799,14179.238071912661,15100.924609708469
14.35,7523.687503579607,11502.034177358582,14097.708691827369,15076.138208010172
