tau_mid,N_16
0.35,14931348.870296752
0.85,14908014.484195769
1.35,14904620.97166076
1.85,14901314.382293671
2.35,14897331.004326247
2.85,14892524.79689832
3.35,14886853.078177018
3.85,14880301.263470171
4.35,14872864.844722288
4.85,14864543.749257047
5.35,14855340.205956835
5.85,14845257.848452248
6.35,14834301.257947499
6.85,14822475.781129403
7.35,14809787.360962601
7.85,14796242.489775836
8.35,14781848.166551957
8.85,14766611.805307362
9.35,14750541.298344523
9.85,14733644.93242822
10.35,14715931.37581506
10.85,14697409.682219187
11.35,14678089.288841303
11.85,14657979.944336072
12.35,14637091.76059614
12.85,14615435.135896297
13.35,14593020.83346311
13.85,14569859.797844695
14.35,14545963.379567193
