tau_mid,N_2,N_4,N_8,N_16
0.03,947407459.0340376,947430307.0366621,947436019.887042,947437448.2036829
0.07,943177664.4235611,943288868.7971115,943316676.9010544,943323629.1842461
0.11,942647724.033165,942917861.9190216,942985433.3551407,943002328.8702011
0.15,942248270.256424,942747740.7333374,942872736.1412048,942903992.298317
0.19,941808593.1690216,942607541.6542053,942807601.115036,942857636.5856171
0.23,941294844.9462891,942463077.765274,942755823.1155396,942829052.8717041
0.27,940696846.0128784,942303759.821701,942706786.4051819,942807623.6633301
0.31000000000000005,940010934.8449707,942125437.5450134,942656308.0856323,942789165.5143738
0.35,938667288.2013092,941794846.7605591,942584155.8424835,942781952.9321442
0.85,921721192.2022705,937389821.5881348,941447187.8636475,942470691.5876465
1.35,892943843.2375488,929531699.6812744,939435148.6673584,941963085.657959
1.85,855503168.8730469,918448501.5695801,936533957.8395996,941228773.8962402
2.35,812809985.2329102,904485754.8583984,932767149.2988281,940268145.0544434
2.85,767846586.0107422,888049141.1362305,928166018.9414062,939083052.7436523
3.35,722868074.6464844,869574451.2700195,922768088.0771484,937675977.7041016
3.85,679383149.3071289,849500684.421875,916616183.9238281,936049908.1049805
4.35,638281297.3295898,828248070.9379883,909757489.1850586,934208284.5087891
4.85,600000321.6157227,806202149.6845703,902242634.109375,932154965.3935547
5.35,564677594.2275391,783703894.4785156,894124737.3730469,929894216.4033203
5.85,532265980.0595703,761045121.1425781,885458492.9033203,927430684.2265625
6.35,502614538.00390625,738468096.7060547,876299308.8027344,924769344.9921875
6.85,475521094.95214844,716168076.6708984,866702513.8339844,921915512.015625
7.35,450764751.6738281,694297676.5058594,856722646.6308594,918874783.3134766
7.85,428124951.0058594,672972129.6005859,846412815.5507812,915653028.2587891
8.35,407391924.7832031,652274883.7480469,835824247.9462891,912256345.5224609
8.85,388371807.03125,632262936.9179688,825005776.7089844,908691039.0566406
9.35,370888613.75097656,612971774.8945312,814003604.09375,904963590.84375
9.85,354784331.34277344,594419737.9775391,802861018.7089844,901080646.9140625
10.35,339918094.26464844,576611725.3271484,791618244.2578125,897048910.2128906
10.85,326164807.2158203,559542336.3789062,780312439.8027344,892875280.7167969
11.35,313413667.94433594,543198449.6933594,768977509.4023438,888566577.6914062
11.85,301566562.6669922,527561315.4277344,757644329.2402344,884129810.6875
12.35,290536650.3232422,512608223.5566406,746340752.296875,879571892.4179688
12.85,280246991.5205078,498313760.69921875,735091638.3085938,874899752.0390625
13.35,270629347.5673828,484651018.796875,723919146.0488281,870120297.984375
13.85,261623078.60839844,471592125.7265625,712842753.7792969,865240332.4882812
14.35,253174242.6904297,459109074.58203125,701879497.1386719,860266706.375
