tau,N_2,N_4,N_8,N_16
0.25,119.10154332324393,119.21351124192454,119.22238158873954,119.22337764711564
0.5909090909090909,376.1267062067877,377.912948933782,378.03471872520447,378.0437679279746
0.9318181818181818,132.1248556505113,145.97968145514488,146.91801865486383,146.97825346932996
1.2727272727272727,31.47070662589439,89.57059298460857,93.70006407502868,93.96718413692858
1.6136363636363635,-114.21218625099937,56.234306996065826,69.11206108454117,69.95967486093953
1.9545454545454546,-375.3785804785142,21.729131047129478,53.922666672264775,56.08791594431755
2.2954545454545454,-814.5906471981219,-26.703721472266444,42.313075303650066,47.07215816081549
2.6363636363636362,-1490.0714922518216,-100.71935340564657,31.40760638281394,40.77538029351158
2.977272727272727,-2452.5684030453367,-212.79257631650898,19.096228891794294,36.044246745900274
3.3181818181818183,-3743.014165083109,-376.47426126043615,3.40536535154789,32.09351753945643
3.659090909090909,-5391.910535232984,-606.1519109554387,-17.705537056577832,28.31146895939588
4.0,-7420.075481898964,-916.648846230726,-46.409071320306985,24.198758678537953
4.340909090909091,-9840.150388114978,-1322.7924551695687,-85.02615828289609,19.351051827503703
4.681818181818182,-12658.357961949618,-1839.0135803227136,-136.02538760533585,13.453087643462787
5.0227272727272725,-15876.183691666025,-2479.0101690505185,-202.0209189741571,6.267504116267657
5.363636363636363,-19491.816718045546,-3255.49132681458,-285.7773669638373,-2.3908469673399604
5.704545454545454,-23501.298001528412,-4180.004315853401,-390.2212597444789,-12.693597520450743
6.045454545454546,-27899.387277540936,-5262.836518412101,-518.4506826583947,-24.83916679022314
6.386363636363637,-32680.189288886406,-6512.978914988135,-673.7336492453421,-39.08216324116192
6.7272727272727275,-37837.58794158568,-7938.137143714227,-859.4913101076305,-55.746523580674165
7.068181818181818,-43365.534467551435,-9544.77830976699,-1079.2686019010491,-75.22500293323777
7.409090909090909,-49258.22866892367,-11338.204013641489,-1336.6980519481378,-97.97118868218912
7.75,-55510.2242820749,-13322.641636234894,-1635.4620683054075,-124.48952357865915
8.090909090909092,-62116.48205662659,-15501.346950430052,-1979.2571267288083,-155.32648130024177
8.431818181818182,-69072.38791253617,-17876.712055957618,-2371.7614337636887,-191.06397857207688
8.772727272727273,-76373.74862116855,-20450.37366954777,-2816.6064886691274,-232.31493404048342
9.113636363636363,-84016.77372896066,-23223.317928545657,-3317.3524254002546,-279.72043937045186
9.454545454545455,-91998.04969861591,-26195.978973373618,-3877.4668436553825,-333.94796569896874
9.795454545454545,-100314.51026898694,-29368.329561993964,-4500.306830834667,-395.69014352687276
10.136363636363637,-108963.40564176481,-32739.96278268801,-5189.103918586538,-465.6637971638708
10.477272727272727,-117942.2721364493,-36310.16455710694,-5946.951758392942,-544.6090352735821
10.818181818181818,-127248.90329524329,-40077.97707774255,-6776.796325930449,-633.2882857069881
11.159090909090908,-136881.32297679712,-44042.25362953096,-7681.42847447319,-732.4852197377975
11.5,-146837.76068657165,-48201.70543453476,-8663.478658477223,-843.0035458379328
11.840909090909092,-157116.62920500487,-52554.94125984744,-9725.413644847042,-965.6656735230692
12.181818181818182,-167716.50445928637,-57100.50056636423,-10869.535024989673,-1101.3112588218542
12.522727272727273,-178636.10751703675,-61836.88096954907,-12097.979337963026,-1250.7956483159396
12.863636363636363,-189874.28854443855,-66762.56074789747,-13412.719614900972,-1414.9882407660114
13.204545454545455,-201430.01255619738,-71876.01708192733,-14815.568157883466,-1594.7707855225708
13.545454545454545,-213302.34678264463,-77175.74064442384,-16308.180372357678,-1791.0356361270656
13.886363636363637,-225490.44948508637,-82660.24709711643,-17892.059480695676,-2004.6839762024615
14.227272727272727,-237993.56006086164,-88328.08598392562,-19568.56195502506,-2236.6240332297643
14.568181818181818,-250810.9902922717,-94177.84744883403,-21338.903519465846,-2487.7692942728577
14.909090909090908,-263942.11660698254,-100208.1671488644,-23204.165584934402,-2759.0367362251213
15.25,-276787.16867073224,-105647.4121625508,-24723.14787057981,-2967.9844666385397
