tau,N_2,N_4,N_8,N_16
0.25,6022.376039297343,6022.375977290063,6022.375973411784,6022.375973169347
0.5042372881355932,5559.287268275101,5559.2869918478555,5559.286974523216,5559.286973439634
0.7584745762711864,5470.2694000414185,5470.2687663267825,5470.268726542707,5470.268724052368
1.0127118644067796,5439.000482326795,5438.999343122913,5438.999271958303,5438.999267500717
1.2669491525423728,5424.536862503759,5424.5350287310175,5424.534917201441,5424.534910219296
1.521186440677966,5416.692695475775,5416.689837466203,5416.689676092898,5416.689666029735
1.7754237288135593,5411.97126877434,5411.966695976931,5411.966473718847,5411.966460010552
2.0296610169491527,5408.911627210697,5408.903876944512,5408.903579031567,5408.903561087501
2.2838983050847457,5406.816814883994,5406.8029744067235,5406.802578558301,5406.802555733149
2.538135593220339,5405.322002030401,5405.296693128718,5405.2961635982165,5405.296135161834
2.792372881355932,5404.223774637935,5404.177744389474,5404.177023158476,5404.176988272258
3.0466101694915255,5403.404492252543,5403.322776086309,5403.321770322965,5403.321728025677
3.3008474576271185,5402.795620822311,5402.6552724682315,5402.653837103594,5402.653786299077
3.555084745762712,5402.358635182877,5402.126049866504,5402.123963893478,5402.123903320369
3.809322033898305,5402.074487556415,5401.702376822466,5401.699311752261,5401.69923990584
4.063559322033898,5401.93753286757,5401.361638753594,5401.357117636361,5401.357032608544
4.317796610169491,5401.9518959803045,5401.087556213765,5401.080901777418,5401.0808009852235
4.572033898305085,5402.129223126179,5400.867915118464,5400.858185876374,5400.8580656605245
4.826271186440678,5402.487222731793,5400.693220444176,5400.679133981479,5400.678989070052
5.080508474576271,5403.048640761383,5400.555914294775,5400.535757265736,5400.535580106783
5.334745762711864,5403.8404538949835,5400.449927899134,5400.421452502835,5400.421232471358
5.588983050847458,5404.893153447404,5400.370419595584,5400.330726457807,5400.330448937422
5.843220338983051,5406.240054627301,5400.313608491263,5400.2590160171285,5400.25866134845
6.0974576271186445,5407.916607028429,5400.276653509166,5400.202553929537,5400.20209620958
6.351694915254237,5409.959707118616,5400.257553280765,5400.158255815798,5400.157661527139
6.6059322033898304,5412.407025861855,5400.2550570354715,5400.123618836057,5400.1228452816185
6.860169491525424,5415.29636851887,5400.268583770602,5400.096629554738,5400.09562307329
7.114406779661017,5418.66508263137,5400.2981496541015,5400.0756812101845,5400.0743751482005
7.36864406779661,5422.549526768597,5400.344304066135,5400.059501032257,5400.057813448858
7.622881355932203,5426.984608419452,5400.408074292925,5400.047087828859,5400.0449189120145
7.877118644067797,5432.003395340846,5400.490918344293,5400.037659484272,5400.034888657799
8.13135593220339,5437.636801144107,5400.594684956059,5400.0306095618835,5400.027092264183
8.385593220338983,5443.913343065842,5400.72157962398,5400.025471948296,5400.021036065086
8.639830508474576,5450.858967735852,5400.874135469906,5400.02189238871,5400.016334323395
8.89406779661017,5458.49693926364,5401.055187810352,5400.019605793308,5400.012686159981
9.148305084745763,5466.847783029395,5401.267851432813,5400.018418291994,5400.009857217524
9.402542372881356,5475.92927809038,5401.515499748653,5400.018193143612,5400.0076651668205
9.65677966101695,5485.756491006192,5401.80174515856,5400.018839741703,5400.005968299227
9.911016949152541,5496.341844060503,5402.130420123063,5400.020305087904,5400.004656578109
10.165254237288135,5507.695211236329,5402.505558569304,5400.022567219535,5400.003644637622
10.419491525423728,5519.824035821071,5402.931377383345,5400.025630176992,5400.002866316354
10.673728813559322,5532.733464121974,5403.412257834805,5400.029520179438,5400.002270396311
10.927966101694915,5546.426490418363,5403.952726859008,5400.034282745354,5400.001817285839
11.182203389830509,5560.904108929981,5404.557438183028,5400.039980549529,5400.00147644014
11.436440677966102,5576.16546921556,5405.231153328523,5400.046691852187,5400.001224357217
11.690677966101696,5592.208032014498,5405.97872255798,5400.054509371011,5400.001043022151
11.944915254237289,5609.027723095563,5406.805065854373,5400.06353949455,5400.000918700338
12.19915254237288,5626.619083173134,5407.715154038708,5400.073901757356,5400.000841002154
12.453389830508474,5644.975412390844,5408.713990137576,5400.0857285143,5400.000802158638
12.707627118644067,5664.088908254755,5409.8065911145695,5400.099164764992,5400.000796461138
12.961864406779661,5683.950796225433,5410.997970076889,5400.114368089679,5400.000819828354
13.216101694915254,5704.551452454171,5412.293119062425,5400.131508666309,5400.000869472337
13.470338983050848,5725.88051837745,5413.696992504031,5400.150769344735,5400.000943641375
13.724576271186441,5747.927007070509,5415.214491457384,5400.172345759233,5400.001041422568
13.978813559322035,5770.67940141035,5416.850448667249,5400.196446464292,5400.001162590833
14.233050847457626,5794.125744215856,5418.609614534845,5400.223293081822,5400.001307493949
14.48728813559322,5818.253720622102,5420.496644036525,5400.253120450348,5400.001476965662
14.741525423728813,5843.050733012092,5422.51608463176,5400.286176768678,5400.001672260584
14.995762711864407,5868.503968875603,5424.672365186435,5400.322723728027,5400.001895006091
15.25,5894.600461995164,5426.969785926204,5400.363036627902,5400.002147167451
