tau_mid,N_2,N_4,N_8,N_16
0.35,29807992.93941997,29821739.737892773,29825322.38480144,29826227.306085665
0.85,29806528.532511752,29811229.030365415,29814222.244528424,29815090.643707465
1.35,29845993.9527339,29813311.642877255,29813704.21292471,29814405.477773223
1.85,29947074.824724596,29820709.452083427,29814004.289329264,29814238.156939067
2.35,30139307.15473122,29836544.343355384,29814998.010191392,29814222.923373062
2.85,30444885.052692838,29864736.31424563,29816938.321022246,29814307.698323984
3.35,30875961.530937072,29909396.093013287,29820189.391692247,29814496.73112629
3.85,31435525.370619837,29974476.60258228,29825178.809745815,29814812.75482917
4.35,32119816.447328124,30063522.161875784,29832377.589424193,29815287.69857442
4.85,32920894.01264644,30179505.23330862,29842285.863766428,29815959.65582018
5.35,33828711.41239408,30324743.685370725,29855420.705561545,29816871.547286913
5.85,34832551.889726736,30500885.075572178,29872304.662019663,29818070.3994912
6.35,35921912.85051785,30708940.51486927,29893455.606856037,29819606.90109805
6.85,37086988.8890899,30949350.746159486,29919377.493069317,29821534.928898696
7.35,38318891.90687617,31222069.261713244,29950552.34433937,29823911.123867385
7.85,39609712.82594075,31526650.863664914,29987433.72838922,29826794.552658882
8.35,40952493.4006825,31862337.5348801,30030441.342071816,29830246.264881104
8.85,42341154.24851031,32228136.623376254,30079957.1074346,29834328.95949359
9.35,43770403.62594226,32622889.077555437,30136322.435368665,29839106.575810388
9.85,45235643.52575875,33045326.37583365,30199836.625282146,29844643.967440147
10.35,46732879.23425013,33494117.285464056,30270756.33054057,29851006.520060137
10.85,48258637.565246604,33967904.246708885,30349295.868531413,29858259.88239377
11.35,49809894.24128419,34465332.18245842,30435628.22881655,29866469.554820023
11.85,51384010.856144756,34985069.136419766,30529886.787475824,29875700.6312281
12.35,52978679.64250649,35525822.09685752,30632167.325569477,29886017.524194114
12.85,54591877.84756217,36086347.14152138,30742530.497412905,29897483.65366723
13.35,56221827.125010125,36665456.65490638,30861004.451195184,29910161.227421727
13.85,57866960.05057649,37262023.25549595,30987587.578392178,29924110.95378662
14.35,59525891.08719103,37874981.613058284,31122251.39571692,29939392.003359072
