tau_mid,N_2,N_4,N_8,N_16
0.35,29694319.373069882,29793226.688912988,29818188.150331736,29824443.37332177
0.85,29148412.0418787,29643903.092985153,29772209.702516556,29804576.08988762
1.35,28237764.993347168,29394780.49096489,29707956.65237999,29787897.44891548
1.85,27053607.01224327,29044119.613206863,29616033.82882309,29764497.43795395
2.35,25703453.36668396,28602502.7688179,29496841.163848877,29734044.08623123
2.85,24281545.808116913,28082692.047409058,29351301.703662872,29696529.348892212
3.35,22859176.794261932,27498448.16682434,29180581.81470871,29652011.526363373
3.85,21484047.45282364,26863645.469940186,28986027.648002625,29600577.132492065
4.35,20184282.513908386,26191569.274414062,28769127.9344635,29542331.271095276
4.85,18973724.317253113,25494409.542236328,28531481.61328125,29477394.223388672
5.35,17856715.991531372,24782947.480262756,28274767.330711365,29405899.689926147
5.85,16831766.551719666,24066410.576049805,28000713.97087097,29327993.611709595
6.35,15894102.267158508,23352459.629005432,27711073.27822113,29243833.236221313
6.85,15037329.588531494,22647268.907707214,27407594.570716858,29153586.127593994
7.35,14254462.972129822,21955664.082733154,27092002.173591614,29057429.205291748
7.85,13538527.708938599,21281289.459579468,26765976.00152588,28955547.849838257
8.35,12882890.106140137,20626783.51965332,26431135.06378174,28848134.8951416
8.85,12281419.800605774,19993948.734588623,26089024.285888672,28735389.72053528
9.35,11728551.286651611,19383907.446655273,25741104.2910614,28617517.267547607
9.85,11219288.05304718,18797239.2809906,25388744.015441895,28494727.13937378
10.35,10749175.262779236,18234099.299468994,25033215.948760986,28367232.652938843
10.85,10314257.390090942,17694316.73362732,24675693.634399414,28235250.00970459
11.35,9911029.959869385,17177476.73725891,24317251.11579895,28098997.345108032
11.85,9536390.827163696,16682986.14855957,23958864.13357544,27958693.941757202
12.35,9187593.646087646,16210126.561676025,23601412.54914856,27814559.446472168
12.85,8862205.436325073,15758095.79310608,23245683.926727295,27666813.076416016
13.35,8558068.085006714,15326040.54838562,22892377.862228394,27515672.936447144
13.85,8273264.402008057,14913081.402038574,22542110.887527466,27361355.300857544
14.35,8006088.179092407,14518331.787979126,22195421.810302734,27204074.152008057
