tau_mid,N_2,N_4,N_8,N_16,N_256
0.15000000000000002,6543.655856353652,6543.2198828569235,6543.111262387364,6543.084130621186,6543.075121042606
0.25,5523.989593889037,5523.49364241712,5523.371731209323,5523.341383775629,5523.331317519493
0.35000000000000003,5224.28402119116,5223.738449127541,5223.609168372677,5223.577296301765,5223.566754054073
0.45,5097.981432446704,5097.365639304728,5097.230072712918,5097.197344919872,5097.186581592102
0.55,5033.505487521875,5032.77084153312,5032.626825013987,5032.593346331346,5032.582454202002
0.65,4996.390187057088,4995.460448650326,4995.303444606763,4995.269033566036,4995.258039177066
0.7500000000000001,4973.242219677404,4972.011409771036,4971.834635911838,4971.7989142080505,4971.787810327017
0.8500000000000001,4958.009191201264,4956.3388582885345,4956.133146331322,4956.095558575815,4956.084316049679
0.9500000000000001,4947.648718143448,4945.365378700463,4945.118947164919,4945.07875661827,4945.067333659185
1.05,4940.507982663358,4937.401006692057,4937.099209948856,4937.055485483389,4937.043822484265
1.1500000000000001,4935.636291746914,4931.456329974475,4931.081405664411,4931.033005257114,4931.021028364741
1.2500000000000002,4932.463780922403,4926.921762953199,4926.452586644901,4926.39813928161,4926.385756979815
1.3500000000000003,4930.639174968836,4923.405875723246,4922.817726967403,4922.755613841432,4922.742717657445
1.4500000000000002,4929.9425025392065,4920.648655807679,4919.912997967588,4919.8413333598655,4919.827796205996
1.5500000000000003,4930.2355745882805,4918.4724999715845,4917.556775634947,4917.473387692233,4917.459060919576
1.6500000000000001,4931.432587831557,4916.753288401501,4915.620731712706,4915.523143429628,4915.5078572235625
1.7500000000000002,4933.481980956161,4915.402662281596,4914.012129372723,4913.897539895251,4913.881099412141
1.8500000000000003,4936.354851282333,4914.356807895054,4912.662626346769,4912.527892775609,4912.510079613638
1.9500000000000002,4940.037340508726,4913.569153259037,4911.5209911183265,4911.362610926551,4911.343179131831
2.05,4944.525503072801,4913.005489811839,4910.548244527105,4910.362338649758,4910.341013851396
2.15,4949.821775219107,4912.640638129037,4909.714345394615,4909.496642010931,4909.473120883625
2.25,4955.93250561416,4912.456120461034,4908.995882819404,4908.741701828056,4908.715650884503
2.35,4962.866208157607,4912.43850427877,4908.3744390829215,4908.078677272707,4908.049730753422
2.45,4970.632318187119,4912.578201964224,4907.835408220312,4907.492525037499,4907.460284918231
2.5500000000000003,4979.24030685953,4912.868586386253,4907.367129869787,4906.971133822292,4906.935168696477
2.65,4988.69905542078,4913.305329054982,4906.960245006385,4906.504680619993,4906.464523933953
2.75,4999.016420896097,4913.885897619232,4906.607210343408,4906.085145618978,4906.040295587001
2.85,5010.198944609444,4914.609169299643,4906.301927809384,4905.705942233517,4905.655860837562
2.95,5022.2516679874725,4915.475129763983,4906.039458767966,4905.361631798405,4905.305743076949
3.0500000000000003,5035.178029778482,4916.484635999878,4905.81580132983,4905.047701306621,4904.985391174879
3.15,5048.9798245234315,4917.639227551013,4905.627715236666,4904.760388832576,4904.6910040517905
3.25,5063.657207346916,4918.940974991904,4905.472583050648,4904.496545154437,4904.419391866669
3.35,5079.208733220975,4920.392357147379,4905.348299319379,4904.253523349601,4904.167865874377
3.45,5095.63142151219,4921.99616094756,4905.25318138496,4904.029090136372,4903.934151183939
3.5500000000000003,5112.920838501005,4923.75539920131,4905.185897278678,4903.82135419644,4903.71631230846
3.65,5131.071192216563,4925.67324266772,4905.145407027367,4903.628707989766,4903.512697459624
3.75,5150.075434978575,4927.752963737701,4905.130914670196,4903.449780228788,4903.321889208745
3.85,5169.925370113207,4929.997889541507,4905.141828817052,4903.28339694408,4903.14266687355
3.95,5190.6117600912885,4932.411362788174,4905.177730081904,4903.128549437285,4902.973973866169
4.05,5212.124433790494,4934.996709041527,4905.238344112771,4902.984367792715,4902.814890653896
4.1499999999999995,5234.452391368699,4937.757209342707,4905.323519186555,4902.850098981177,4902.664614136047
4.25,5257.583905451313,4940.696077392545,4905.433207457703,4902.725088688353,4902.522437862184
4.35,5281.506617712697,4943.816440487061,4905.567449337583,4902.608766194013,4902.387738971452
4.449999999999999,5306.2076303143285,4947.121323771991,4905.726360422825,4902.500631878611,4902.259963492072
4.55,5331.6735916342095,4950.613637268646,4905.910120486152,4902.400246844267,4902.138617220839
4.6499999999999995,5357.890776317062,4954.296165312742,4906.118964389317,4902.307224387341,4902.023257332563
4.75,5384.845159365068,4958.171558200209,4906.3531744007505,4902.221222989359,4901.913485125544
4.85,5412.522484261668,4962.242325501162,4906.613073833045,4902.141940718026,4901.808939991254
4.95,5440.9083255561245,4966.510831087416,4906.8990218661465,4902.069110590091,4901.709295815699
5.05,5469.988145716168,4970.979289652306,4907.211409100829,4902.002497036672,4901.614257050238
5.1499999999999995,5499.747346668603,4975.649764157394,4907.550654094323,4901.941893004245,4901.523555459534
5.25,5530.171316374783,4980.524164761304,4907.917200313344,4901.887117724118,4901.436948901379
5.35,5561.245470438268,4985.604248323839,4908.311513688604,4901.838014870401,4901.354219054182
5.45,5592.955289386739,4990.89161887447,4908.734080377625,4901.794451137454,4901.275169672996
5.55,5625.286351576375,4996.387728815509,4909.18540497514,4901.756314712779,4901.199625975838
5.6499999999999995,5658.224362466526,5002.093880503753,4909.666008618674,4901.723514129809,4901.1274330102
5.75,5691.755179979268,5008.01122848335,4910.176427268835,4901.695976829606,4901.058453963409
5.85,5725.8648367616,5014.14078206051,4910.717209904593,4901.673647635671,4900.992568776076
5.95,5760.539559351765,5020.483408198476,4911.288916729529,4901.656487261256,4900.92967326752
6.05,5795.765784482388,5027.039834601968,4911.892117273184,4901.644470334219,4900.869675632215
6.1499999999999995,5831.530173096526,5033.8106530760715,4912.527388265433,4901.637583566151,4900.812495814479
6.25,5867.819621610613,5040.796323085404,4913.195311668772,4901.635823704352,4900.758062201595
6.35,5904.621271694411,5047.997175232778,4913.89647255094,4901.6391953470775,4900.706310312501
6.45,5941.9225176124555,5055.413415147126,4914.631456937082,4901.647708930437,4900.6571801143145
6.55,5979.711012320966,5063.0451270763115,4915.400849837825,4901.661378814549,4900.610613766999
6.6499999999999995,6017.974671687065,5070.892277892342,4916.205233271815,4901.680221315988,4900.566554373092
6.75,6056.701677662665,5078.954720869906,4917.045184493845,4901.7042532783125,4900.524943532457
6.85,6095.880480070244,5087.232199743055,4917.92127445985,4901.733490675345,4900.485721197541
6.95,6135.49979740039,5095.724352559319,4918.834066410322,4901.767947625773,4900.448823433906
7.05,6175.548616543056,5104.430715782132,4919.784114784795,4901.807635650306,4900.4141824308645
7.1499999999999995,6216.016191981853,5113.3507282627,4920.771964308182,4901.852563285202,4900.381726390834
7.25,6256.8920438523965,5122.483735454749,4921.798149376663,4901.9027359543115,4900.351379252738
7.35,6298.165955786995,5131.8289932188745,4922.863193620326,4901.9581560822935,4900.323060642614
7.45,6339.82797181368,5141.385672302188,4923.967609629803,4902.018823323461,4900.296686999606
7.55,6381.86839319429,5151.152862031423,4925.111898963503,4902.084735202363,4900.272171815788
7.6499999999999995,6424.277774346897,5161.129574654624,4926.296552155751,4902.155887530015,4900.249426070794
7.75,6467.046919163687,5171.314749389172,4927.522048875986,4902.232275132181,4900.228359677018
7.85,6510.166876142483,5181.707256264864,4928.788858294734,4902.313892586196,4900.208881895125
7.95,6553.628934100453,5192.305900354155,4930.097439182339,4902.400734791883,4900.1909018569095
8.05,6597.424617184456,5203.109425471998,4931.448240419318,4902.4927977025,4900.17432990018
8.15,6641.545679964723,5214.116518152398,4932.8417011643705,4902.590078926977,4900.1590778549025
8.25,6685.984102356197,5225.3258113979045,4934.2782512419135,4902.692578232386,4900.145059595245
8.350000000000001,6730.732084348152,5236.7358883290735,4935.75831138723,4902.800298046646,4900.132191490368
8.450000000000001,6775.782041061014,5248.345285777592,4937.282293472611,4902.913243758585,4900.120393477546
8.55,6821.126597131037,5260.152497769189,4938.85060076808,4903.031424214611,4900.1095883275375
8.65,6866.758581808741,5272.155978822638,4940.463627966109,4903.15485165409,4900.099702759366
8.75,6912.671023510847,5284.35414733251,4942.121761484784,4903.283542206476,4900.090666921041
8.850000000000001,6958.857144676736,5296.745388491988,4943.825379372178,4903.417515699444,4900.082415115076
8.950000000000001,7005.310356701358,5309.3280574610435,4945.574851435176,4903.556795882105,4900.074885525277
9.05,7052.024254583957,5322.100482074778,4947.370539274149,4903.701410273924,4900.068019894811
9.15,7098.992612143674,5335.060965781309,4949.2127961722335,4903.851390314474,4900.061764152192
9.25,7146.209376986673,5348.207790085406,4951.101967066548,4904.006770972391,4900.056067486234
9.350000000000001,7193.668665532556,5361.539217201207,4953.038388652332,4904.167590892243,4900.0508832822725
9.450000000000001,7241.364758306819,5375.053492244305,4955.022389035164,4904.333892215281,4900.04616772918
9.55,7289.2920951731,5388.7488456486235,4957.054287841167,4904.505720214137,4900.0418805973295
9.65,7337.445270846638,5402.623495300556,4959.134396106823,4904.683123430538,4900.0379847305785
9.750000000000002,7385.819030293751,5416.675648516335,4961.2630160666085,4904.866153250036,4900.034445929773
9.850000000000001,7434.408264369414,5430.903503917302,4963.440441193577,4905.054863919833,4900.031232603611
9.950000000000001,7483.208005486569,5445.305253490188,4965.666956066104,4905.24931214535,4900.028315892617
10.05,7532.213423543818,5459.8790839446965,4967.9428362682465,4905.449557169809,4900.02566932571
10.15,7581.419821702437,5474.62317873035,4970.268348234567,4905.65566041796,4900.023268456318
10.250000000000002,7630.822632516316,5489.5357191858,4972.643749355408,4905.867685372415,4900.021091148139
10.350000000000001,7680.417414081067,5504.614886380962,4975.069287816224,4906.085697456206,4900.019117142205
10.450000000000001,7730.199846125712,5519.8588621288,4977.545202439723,4906.30976378849,4900.017327801633
10.55,7780.165726560106,5535.265830453445,4980.071722835164,4906.53995317531,4900.015706220842
10.65,7830.310967841105,5550.8339787837895,4982.64906928083,4906.776335774143,4900.014237058767
10.750000000000002,7880.631593391494,5566.561498972063,4985.2774527209785,4907.018983130481,4900.012906229179
10.850000000000001,7931.123734592915,5582.446588508113,4987.957074573316,4907.267967933981,4900.011700784607
10.950000000000001,7981.783627012767,5598.487451362276,4990.688127122131,4907.523364060933,4900.010609332174
11.05,8032.607607993796,5614.682298902057,4993.470793157851,4907.785246180965,4900.009621186436
11.15,8083.59211268748,5631.029350993756,4996.305246129799,4908.053689986155,4900.008726737894
11.250000000000002,8134.733671964744,5647.526836530292,4999.1916503009015,4908.3287718331285,4900.0079172068135
11.350000000000001,8186.028908927495,5664.172994233643,5002.130160434925,4908.610568767779,4900.007184685948
11.450000000000001,8237.47453654127,5680.966073517791,5005.120922410169,4908.899158434243,4900.00652205915
11.55,8289.06735446867,5697.904334948751,5008.164072628913,4909.194618962146,4900.005922633602
11.65,8340.804247004662,5714.986050852296,5011.259738592576,4909.49702887169,4900.005380636456
11.750000000000002,8392.682180158215,5732.209506066729,5014.408038688836,4909.806467198613,4900.004890491645
11.850000000000001,8444.698199252436,5749.572998146619,5017.6090824082785,4910.123012989748,4900.00444753689
11.950000000000001,8496.849426766115,5767.074838178826,5020.862970299907,4910.446745888589,4900.004047247799
12.05,8549.133059669217,5784.713350721018,5024.169794282346,4910.777745374412,4900.003685586146
12.15,8601.546367850882,5802.4868748556955,5027.529637411378,4911.116091286715,4900.0033589319755
12.250000000000002,8654.086690804666,5820.393763928355,5030.942574344851,4911.461863410911,4900.003064080227
12.350000000000001,8706.751436894463,5838.432386217771,5034.408671190036,4911.815141600192,4900.002797885278
12.450000000000001,8759.538080387429,5856.6011250166275,5037.927985725487,4912.176005765323,4900.002557766632
12.55,8812.444159963547,5874.898379256487,5041.500567469423,4912.544535627215,4900.00234132137
12.65,8865.467276445792,5893.322563196949,5045.126457791957,4912.920810984755,4900.002146143208
12.750000000000002,8918.605091415655,5911.872107162059,5048.805690164661,4913.304911342777,4900.001970398321
12.850000000000001,8971.855325018174,5930.545457283474,5052.538290136612,4913.696916175739,4900.001812251397
12.950000000000001,9025.215754623558,5949.3410760266015,5056.324275405475,4914.096904740174,4900.001669949541
13.05,9078.684212755445,5968.257442085142,5060.163656269713,4914.504956044569,4900.0015420688405
13.15,9132.258585914835,5987.293050475146,5064.056435309906,4914.921148877452,4900.001427312756
13.250000000000002,9185.93681262878,6006.446412860904,5068.002607962467,4915.345561784917,4900.001324418714
13.350000000000001,9239.716882061808,6025.71605740047,5072.002162278458,4915.778272991433,4900.001232181305
13.450000000000001,9293.596832974286,6045.100528849772,5076.055079325046,4916.219360395234,4900.001149762473
13.55,9347.574751582764,6064.598388687119,5080.161333191711,4916.668901600204,4900.001076156372
13.65,9401.648770538812,6084.208215045533,5084.320891234613,4917.126973861388,4900.001010630548
13.750000000000002,9455.817068006374,6103.9286028065135,5088.533714035117,4917.593653977076,4900.000952346677
13.850000000000001,9510.077865355375,6123.758163457486,5092.799755703445,4918.069018468845,4900.000900641224
13.950000000000001,9564.42942709709,6143.695525105688,5097.1189639155555,4918.553143388516,4900.000855000425
14.05,9618.870058988407,6163.739332743651,5101.491280237441,4919.046104339134,4900.000814787005
14.15,9673.398107066494,6183.888247658776,5105.9166399241185,4919.547976558422,4900.000779577626
14.250000000000002,9728.011955907143,6204.14094789297,5110.394972402378,4920.0588347390185,4900.000748797383
14.350000000000001,9782.710028876285,6224.496127754645,5114.926201258556,4920.578753190426,4900.0007221936185
14.450000000000001,9837.490785949463,6244.952498176535,5119.510244328254,4921.107805705578,4900.000699373668
14.55,9892.352722840304,6265.508786278072,5124.147013914056,4921.646065549415,4900.000679860108
14.65,9947.29437033955,6286.163735417507,5128.836416846135,4922.193605591116,4900.00066350851
14.750000000000002,10002.314293294072,6306.916105061668,5133.578354832651,4922.75049800953,4900.000649999032
14.850000000000001,10057.411089518806,6327.764670807957,5138.3727242890045,4923.316814631735,4900.000639101432
14.950000000000001,10112.583388606785,6348.708224007216,5143.219416597938,4923.892626630918,4900.000630478907
