tau_mid,N_2,N_4,N_8,N_16,N_256
0.15000000000000002,6539.05808114022,6542.069909630627,6542.823735953307,6543.012246934577,6543.074840815216
0.25,5513.22158298477,5520.797940297834,5522.697573790647,5523.172829917294,5523.330659087169
0.35000000000000003,5204.361076445384,5218.743948083447,5222.359678020002,5223.264869571158,5223.5655335540105
0.45,5065.923634447463,5089.314185222629,5095.214875423426,5096.693399405503,5097.184612605815
0.55,4986.368720708924,5020.905030815738,5029.655202555405,5031.850116516471,5032.579550594637
0.65,4931.281856298156,4979.025773733119,4991.184742353507,4994.238727968841,4995.254013839622
0.7500000000000001,4887.33208536436,4950.257349154635,4966.378409631725,4970.433743807225,4971.782476183107
0.8500000000000001,4848.538287674855,4928.519674966956,4949.149239445578,4954.347747908068,4956.077486258946
0.9500000000000001,4811.937055864764,4910.740819407365,4936.417547094097,4942.90054971083,4945.058821329876
1.05,4775.961194629635,4895.236954021675,4926.4908970309625,4934.399150003592,4937.033440605301
1.1500000000000001,4739.751259236291,4881.025422774328,4918.377198934759,4927.850835955105,4931.008590046622
1.2500000000000002,4702.833251084303,4867.503989642137,4911.463988048563,4922.642461134383,4926.371075249917
1.3500000000000003,4664.955387656228,4854.289141655536,4905.356764655735,4918.378785064197,4922.725605546002
1.4500000000000002,4625.99985576584,4841.129324520152,4899.792268972451,4914.795748369215,4919.8080667829345
1.5500000000000003,4585.932370810988,4827.855907642588,4894.589488046986,4911.711480059967,4917.436527234095
1.6500000000000001,4544.771914770245,4814.35423064424,4889.620746396176,4908.9973888441455,4915.482332316387
1.7500000000000002,4502.571790106158,4800.545852337964,4884.794001191767,4906.56045913056,4913.852396346338
1.8500000000000003,4459.407304426131,4786.377305336355,4880.041644843877,4904.332054661791,4912.478011459025
1.9500000000000002,4415.367499372369,4771.812762407062,4875.313220569078,4902.260635308485,4911.307558928529
2.05,4370.549439909664,4756.829127254896,4870.570563292276,4900.30689932144,4910.301654667564
2.15,4325.054182729509,4741.412668894918,4865.78448449698,4898.440469613124,4909.429835817864
2.25,4278.983883430774,4725.556662613526,4860.932463683857,4896.637586699799,4908.66825301724
2.35,4232.439700474206,4709.259701905539,4855.997010391729,4894.879472250468,4907.998033182521
2.45,4185.520273192233,4692.524466718314,4850.964481848641,4893.151148198085,4907.404100733693
2.5500000000000003,4138.320623842737,4675.356807921344,4845.824215878092,4891.440571168932,4906.874311019492
2.65,4090.931379933754,4657.765054854099,4840.567885675991,4889.737988712877,4906.398805885983
2.75,4043.4382424941577,4639.759482860391,4835.1890132483095,4888.0354541531415,4905.969530292787
2.85,3995.921645647759,4621.351897521381,4829.682597923384,4886.326456567767,4905.579861440347
2.95,3948.4565659504733,4602.555305205024,4824.044829608465,4884.605635439802,4905.224322719878
3.0500000000000003,3901.1124496800767,4583.383648571471,4818.272865142353,4882.868558355403,4904.898363022512
3.15,3853.953232387139,4563.851591484563,4812.364652225515,4881.111546391621,4904.598181265319
3.25,3807.037430486962,4543.974342256843,4806.318789660436,4879.331535708188,4904.320587609836
3.35,3760.418288231158,4523.7675067957025,4800.134415571811,4877.525967116235,4904.062893327209
3.45,3714.143966480042,4503.246965574508,4793.811117276782,4875.692697396735,4903.822823534429
3.5500000000000003,3668.257762054418,4482.428769742837,4787.348858243495,4873.829927603365,4903.598442740622
3.65,3622.7983485229197,4461.329052779765,4780.747918465349,4871.9361448599375,4903.38809916866
3.75,3577.8000308127957,4439.963955008716,4774.008845548087,4870.01007482002,4903.190375394479
3.85,3533.2930074990145,4418.349558797199,4767.132414341322,4868.050642719609,4903.004050735326
3.95,3489.303635794786,4396.501832745853,4760.119593447598,4866.056941318675,4902.828068608069
4.05,3445.8546951354947,4374.436583558563,4752.97151732957,4864.028204402712,4902.661509486497
4.1499999999999995,3402.965646275552,4352.169414490636,4745.689462982991,4861.963784877153,4902.50357026729
4.25,3360.6528833846096,4329.715689559234,4738.2748302668915,4859.8631365865,4902.353544504149
4.35,3318.929977255757,4307.090502695937,4730.729125363578,4857.7257991847,4902.210809339886
4.449999999999999,3277.807908306713,4284.308651361207,4723.05394678755,4855.551385631552,4902.074810797058
4.55,3237.295288312598,4261.38461404742,4715.250973458751,4853.339571802644,4901.945054678363
4.6499999999999995,3197.3985704162624,4238.332531270571,4707.321954691433,4851.090087948542,4901.821098163782
4.75,3158.1222469586646,4215.166189785814,4699.268701589026,4848.802711669996,4901.702542545099
4.85,3119.469035010552,4191.899009481422,4691.093079753919,4846.477262298868,4901.589027219161
4.95,3081.440049870289,4168.5440329121775,4682.797003174201,4844.113596238603,4901.480226069398
5.05,3044.034966530453,4145.113917203271,4674.382428843819,4841.711603401054,4901.375843549322
5.1499999999999995,3007.2521695654723,4121.6209277752205,4665.851352350728,4839.27120427601,4901.275611425517
5.25,2971.088891903346,4098.076934283308,4657.20580388821,4836.7923476643045,4901.179287550913
5.35,2935.541342802171,4074.4934079423547,4648.447844861366,4834.27500879654,4901.086653608363
5.45,2900.6048257424845,4050.881420497026,4639.579564711894,4831.719187867129,4900.99751334812
5.55,2866.273846589611,4027.25164457981,4630.603078186396,4829.124908466183,4900.911691992951
5.6499999999999995,2832.5422128190985,4003.614355106256,4621.52052252437,4826.492216386832,4900.829034583876
5.75,2799.40312406281,3979.979431871907,4612.33405483159,4823.821178146754,4900.749404305243
5.85,2766.849254805711,3956.3563630430144,4603.0458493949845,4821.11187942588,4900.672681098513
5.95,2734.872829631786,3932.7542494723457,4593.658095031569,4818.364423538442,4900.598760777793
6.05,2703.465691533638,3909.1818096872885,4584.172992364911,4815.578929433541,4900.527551532141
6.1499999999999995,2672.6193639455596,3885.647385570337,4574.592750918528,4812.755529841816,4900.458973303903
6.25,2642.325106653152,3862.158948626602,4564.91958638886,4809.894369213434,4900.392954474955
6.35,2612.573966527998,3838.7241065799026,4555.1557178027,4806.995601527451,4900.329430555867
6.45,2583.356822982896,3815.350110634172,4545.30336469179,4804.059388275782,4900.268341510673
6.55,2554.664429014665,3792.0438628210104,4535.364744467661,4801.085896550503,4900.209629491728
6.6499999999999995,2526.487447853142,3768.8119239368825,4525.342069828475,4798.07529708487,4900.153237595805
