bits,error
8000,5681.625100267167
9000,5495.6489773480425
10000,5079.565108939204
11000,4893.11186476536
12000,4477.806147606906
13000,4291.051873437397
14000,3990.0218777734167
15000,3689.2929121050993
16000,2471.8812922799775
17000,2972.355139291336
18000,2785.9018951174917
19000,2484.8718994535107
20000,2069.2651522993924
21000,1883.2890293802677
22000,1467.2051609714301
23000,937.315160325591
24000,865.1451696434677
25000,678.9929554652873
26000,377.6619298056421
27000,0.0
28000,-224.32876093814662
