Temperature,N_2,N_4,N_8,N_0
0.01004520341536916,-20184.427256012583,-10019.446350557555,-4868.472691559579,0.00029534704983236095
0.010040160642570281,-20204.756001567235,-10029.617688485776,-4873.553820000692,-0.0002032551169395562
0.010035122930255895,-20225.09621840705,-10039.777474367085,-4878.632677286998,0.00020345923956484763
0.010030090270812439,-20245.451221560055,-10049.963687964477,-4883.710603482319,-0.0002962377667427231
0.010025062656641603,-20265.80603952877,-10060.137759830193,-4888.798675424177,6.177811883390301e-06
0.010020040080160322,-20286.18034056696,-10070.31660641943,-4893.882822061465,0.00028446430961292607
0.010015022533800702,-20306.560094117092,-10080.515219980702,-4898.975157597907,-0.00020427675452084512
0.010010010010010012,-20326.940356661176,-10090.707114181492,-4904.061288274737,0.00021067779511214487
0.010005002501250627,-20347.351610181027,-10100.904317657745,-4909.163416115381,-0.0002915226652597553
0.010000000000000004,-20367.767648961726,-10111.10950552207,-4914.256686268622,6.20881716410354e-06
0.009995002498750627,-20388.196667109263,-10121.325623149,-4919.352571987844,0.00027346121147276515
0.009990009990009993,-20408.5995184785,-10131.534916372539,-4924.461879255323,-0.00019907971223196512
0.009985022466300552,-20429.074823779298,-10141.758781208462,-4929.5592685579,0.00019927864273390305
0.009980039920159684,-20449.494869442005,-10151.978427403845,-4934.672648335394,-0.0002929828315973446
0.009975062344139654,-20469.983546509404,-10162.216099315941,-4939.779108728392,1.8719700165094e-05
0.009970089730807583,-20490.443644427887,-10172.445743495307,-4944.891346367781,0.00028732179353636124
0.009965122072745395,-20510.924201264952,-10182.696270241462,-4950.007042706558,-0.0002000753581524008
0.009960159362549806,-20531.426217420616,-10192.928433615583,-4955.124765641059,0.00020027478535971169
0.00995520159283226,-20551.91451831648,-10203.18782466563,-4960.245341859501,-0.00030071146786214605
