tau,N_2,N_4,N_8,N_16
0.25,17649.69548,17649.69547,17649.69547,17649.69547
0.590909091,15868.60027,15868.60018,15868.60018,15868.60018
0.931818182,15618.97167,15618.97143,15618.97142,15618.97142
1.272727273,15540.27423,15540.27378,15540.27375,15540.27375
1.613636364,15505.82696,15505.82623,15505.82618,15505.82618
1.954545455,15487.76569,15487.76458,15487.76451,15487.76451
2.295454545,15477.14323,15477.14163,15477.14154,15477.14153
2.636363636,15470.37748,15470.37521,15470.37508,15470.37507
2.977272727,15465.80811,15465.80479,15465.80462,15465.80461
3.318181818,15462.58044,15462.57539,15462.57519,15462.57517
3.659090909,15460.21847,15460.21048,15460.21023,15460.21022
4,15458.44048,15458.4275,15458.42719,15458.42717
4.340909091,15457.07163,15457.05034,15457.04995,15457.04993
4.681818182,15455.99947,15455.9647,15455.9642,15455.96417
5.022727273,15455.14983,15455.09387,15455.09322,15455.09319
5.363636364,15454.47319,15454.38491,15454.38406,15454.38402
5.704545455,15453.9366,15453.80043,15453.79927,15453.79924
6.045454545,15453.51877,15453.31345,15453.31187,15453.31183
6.386363636,15453.20698,15452.9042,15452.90203,15452.90198
6.727272727,15452.99506,15452.55794,15452.55493,15452.55488
7.068181818,15452.88212,15452.26348,15452.25934,15452.25928
7.409090909,15452.87164,15452.01226,15452.00657,15452.0065
7.75,15452.97089,15451.79758,15451.78981,15451.78972
8.090909091,15453.1905,15451.61414,15451.6036,15451.6035
8.431818182,15453.54416,15451.45768,15451.44351,15451.44339
8.772727273,15454.04833,15451.32475,15451.30587,15451.30572
9.113636364,15454.72208,15451.21253,15451.18759,15451.18742
9.454545455,15455.58688,15451.11869,15451.08605,15451.08584
9.795454545,15456.66641,15451.04132,15450.99899,15450.99873
10.13636364,15457.98638,15450.97889,15450.92444,15450.92412
10.47727273,15459.57431,15450.93016,15450.86072,15450.86032
10.81818182,15461.45937,15450.89419,15450.80633,15450.80584
11.15909091,15463.67209,15450.8703,15450.75998,15450.75938
11.5,15466.2442,15450.85805,15450.72056,15450.71981
11.84090909,15469.20833,15450.85725,15450.68708,15450.68615
12.18181818,15472.59782,15450.86791,15450.65869,15450.65756
12.52272727,15476.44648,15450.89024,15450.63468,15450.63328
12.86363636,15480.78831,15450.92468,15450.6144,15450.6127
13.20454545,15485.65732,15450.97183,15450.59733,15450.59526
13.54545455,15491.08731,15451.0325,15450.583,15450.58049
13.88636364,15497.11164,15451.10766,15450.57102,15450.568
14.22727273,15503.76304,15451.19847,15450.56106,15450.55743
14.56818182,15511.07348,15451.30624,15450.55284,15450.54849
14.90909091,15519.07395,15451.43246,15450.54613,15450.54094
15.25,15527.79436,15451.57878,15450.54073,15450.53456
