tau,N_2,N_4,N_8,N_16
0.25,5492.036119335924,5499.518776879119,5501.394590676004,5501.863866995353
0.5042372881355932,5017.069116630047,5046.156577391393,5053.509593011373,5055.352984882844
0.7584745762711864,4883.710735065195,4947.932395535657,4964.391699301255,4968.532511117385
1.0127118644067796,4789.3689466008345,4900.760325302236,4929.851388681164,4937.205924142269
1.2669491525423728,4696.527104274452,4865.24069602002,4910.349808786347,4921.825231498278
1.521186440677966,4597.637065684696,4831.708116155076,4896.048838442243,4912.5407243878635
1.7754237288135593,4491.725183592225,4796.995024719627,4883.578540220563,4905.968428656597
2.0296610169491527,4379.752240887164,4759.929357258394,4871.53947016239,4900.692480704428
2.2838983050847457,4263.2726132261005,4720.099982634779,4859.27323002824,4896.035796357493
2.538135593220339,4143.940532733372,4677.433729814797,4846.444810528619,4891.6425626505925
2.792372881355932,4023.3020851414212,4632.024542900613,4832.8769955994285,4887.312799938318
3.0466101694915255,3902.7070099578405,4584.054561456841,4818.476423980946,4882.928578590726
3.3008474576271185,3783.2791368054245,4533.753272347188,4803.19732126098,4878.41790134648
3.555084745762712,3665.91777968368,4481.374255486805,4787.022338835297,4873.735689854453
3.809322033898305,3551.315351924237,4427.180899636856,4769.95182265259,4868.853200702875
4.063559322033898,3439.98258185952,4371.4371209950405,4751.997517272777,4863.751877887335
4.317796610169491,3332.27614577532,4314.4011109215835,4733.178727590107,4858.41966466284
4.572033898305085,3228.425677559272,4256.321058394625,4713.519901567388,4852.84873894261
4.826271186440678,3128.55850232332,4197.432244468568,4693.049068342857,4847.034108569418
5.080508474576271,3032.7213342453715,4137.955139464897,4671.796813014665,4840.972750135286
5.334745762711864,2940.8987333959412,4078.0942582906628,4649.795597860377,4834.663100876866
5.588983050847458,2853.0284400450837,4018.037597303796,4627.079302093453,4828.1047696685855
5.843220338983051,2769.0138753444376,3957.9565153927697,4603.682882806391,4821.298357993947
6.0974576271186445,2688.734169779986,3898.0059484376307,4579.642083379105,4814.245304961879
6.351694915254237,2612.052094014803,3838.324868396989,4554.993144935152,4806.9477068265505
6.6059322033898304,2538.8202466648318,3779.036918565486,4529.772509913912,4799.408106198532
6.860169491525424,2468.8858169597543,3720.2511743233144,4504.016534070722,4791.6292816737305
7.114406779661017,2402.094197489321,3662.062992318697,4477.761234594662,4783.61408000449
7.36864406779661,2338.2916793492627,3604.5549197646983,4451.042096195576,4775.365319471981
7.622881355932203,2277.3274222019973,3547.797640153203,4423.893941213949,4766.885767597845
7.877118644067797,2219.054856532595,3491.850933933114,4396.350854207803,4758.178174570423
8.13135593220339,2163.3326451495604,3436.7646343668757,4368.446142880461,4749.245334550716
8.385593220338983,2110.025305612611,3382.5795610186515,4340.212316754612,4740.090149815533
8.639830508474576,2059.0035743315584,3329.3284164444185,4311.6810698272075,4730.715681747281
8.89406779661017,2010.144576015722,3277.0366353432933,4282.883259812116,4721.125182225386
9.148305084745763,1963.331848383757,3225.723179158182,4253.848881899849,4711.322105831342
9.402542372881356,1918.4552610223361,3175.4012724241416,4224.607038256018,4701.310106817086
9.65677966101695,1875.4108585187817,3126.0790798035086,4195.1859058902955,4691.093025765973
9.911016949152541,1834.1006510636262,3077.760324667923,4165.612705665215,4680.674870394061
10.165254237288135,1794.4323702664362,3030.4448513703833,4135.9136746987015,4670.059793877912
10.419491525423728,1756.3192036555938,2984.1291341330143,4106.114043688495,4659.252072982944
10.673728813559322,1719.6795179975727,2938.8067358990515,4076.2380199981358,4648.2560873443135
10.927966101694915,1684.4365789775075,2894.4687206780636,4046.308776796615,4637.076300582921
11.182203389830509,1650.5182727731485,2851.104022938599,4016.3484481563837,4625.7172434995855
11.436440677966102,1617.8568335032528,2808.699777531497,3986.3781297669066,4614.183499327684
11.690677966101696,1586.388579339681,2767.2416134984237,3956.417884780595,4602.479690884766
11.944915254237289,1556.0536591614255,2726.713914957668,3926.48675424276,4590.610469402874
12.19915254237288,1526.7958109366841,2687.1000520778234,3896.6027715413043,4578.580504803606
12.453389830508474,1498.5621324973788,2648.3825849589566,3866.782980325969,4566.39447719589
12.707627118644067,1471.3028649810997,2610.5434430464556,3837.043455378176,4554.057069398545
12.961864406779661,1444.9711889285222,2573.5640825090804,3807.3993259520503,4541.5729603179225
13.216101694915254,1419.5230328165426,2537.4256238228895,3777.864801149995,4528.9468190389525
13.470338983050848,1394.9168936605085,2502.1089716189517,3748.4531969389136,4516.183299513291
13.724576271186441,1371.113669218663,2467.59491867663,3719.176964454206,4503.287035750467
13.978813559322035,1348.0765012672296,2433.8642357770864,3690.0477192771127,4490.26263743647
14.233050847457626,1325.7706293767212,2400.897748974125,3661.0762714064745,4477.114685919478
14.48728813559322,1304.1632546023664,2368.6764056922366,3632.272655678503,4463.847730514837
14.741525423728813,1283.2234124987356,2337.18133092472,3603.646162417773,4450.466285091228
14.995762711864407,1262.9218548767033,2306.3938746782146,3575.2053681295693,4436.974824907828
15.25,1243.2309397366612,2276.295651693522,3546.9581660681006,4423.377783678418
