tau,N_2,N_4,N_6,N_8,N_10,N_16
0.25,24.49580025419829,24.495799009675782,24.49579894304902,24.495798931836216,24.495798928771926,24.495798926970355
0.35050251256281406,17.80784662605319,17.807843264855542,17.8078430847872,17.80784305447891,17.807843046195696,17.80784304132564
0.4510050251256281,14.181638514242097,14.181631537615022,14.181631163518034,14.181631100540368,14.181631083327519,14.181631073206939
0.5515075376884422,11.939241505594484,11.9392291409816,11.939228477221516,11.939228365455147,11.93922833490499,11.939228316941616
0.6520100502512562,10.436777880497003,10.43675816496663,10.436757105163215,10.43675692666154,10.436756877865134,10.436756849171294
0.7525125628140703,9.374064409781475,9.3740352633759,9.374033694171894,9.374033429789517,9.374033357507802,9.37403331500085
0.8530150753768844,8.592277361437976,8.592236642995593,8.59223444690446,8.5922340767709,8.59223397556358,8.592233916041451
0.9535175879396985,7.999563898804453,7.999509440692317,7.9995064978398025,7.999506001647323,7.999505865950968,7.99950578613788
1.0540201005025125,7.539195782531204,7.539125404561851,7.539121593337788,7.539120950446001,7.539120774602058,7.539120671164796
1.1545226130653266,7.174339723483336,7.1742512294034775,7.174246426205619,7.174245615593295,7.1742453938343616,7.174245263373968
1.2550251256281406,6.8801295376774965,6.880020699636953,6.880014777998249,6.880013778111273,6.880013504518909,6.880013343545655
1.3555276381909547,6.639251506483303,6.639120043740402,6.639112873180467,6.6391116617331924,6.639111330182978,6.639111135083801
1.4560301507537687,6.439347129458989,6.439190687387669,6.4391821323245395,6.4391806861113094,6.439180290220621,6.439180057228143
1.556532663316583,6.271413745355244,6.271229879842584,6.271219798854867,6.271218093620854,6.27121762671285,6.271217351883902
1.657035175879397,6.128781193994444,6.128567364846078,6.128555610502728,6.128553620911228,6.128553076005213,6.12855275521488
1.7575376884422111,6.006435552632502,6.0061891279112585,6.0061755473002245,6.006173247019236,6.006172616853725,6.006172245808636
1.8580402010050252,5.900559868001289,5.900278139539586,5.900262575539098,5.900259937455425,5.90025921454624,5.900258788818499
1.9585427135678393,5.8082149893987625,5.80789519822069,5.8078774914767655,5.80787448803249,5.807873664764544,5.807873179845545
2.059045226130653,5.7271134271424025,5.726752796323869,5.726732787831029,5.726729391465936,5.726728460214324,5.7267279115858996
2.159547738693467,5.65545650506397,5.655052276714982,5.655029810847735,5.655025994522952,5.655024947796656,5.655024331015644
2.2600502512562812,5.591815500474183,5.591364973067059,5.591339900879184,5.591335638652012,5.591334469252079,5.59133378004356
2.3605527638190953,5.535043918422165,5.534544480596756,5.534516663193196,5.5345119308109005,5.534510631994351,5.534509866348407
2.4610552763819094,5.484212150248538,5.483661307453772,5.483630619244376,5.483625394725314,5.4836239603661525,5.483623114633112
2.5615577889447234,5.438558439633195,5.4379538304468005,5.437920162109126,5.437914426282389,5.437912851021879,5.43791192200141
2.6620603015075375,5.397451860253854,5.3967912598812475,5.39675452088757,5.396748257866904,5.396746537246465,5.396745522266644
2.762562814070352,5.360364220303151,5.359645529512791,5.3596056501105,5.359598847683833,5.359596978255467,5.359595875238793
2.863065326633166,5.326848648557151,5.326069867090145,5.326026799661189,5.326019449583143,5.326017428993899,5.326016236508205
2.96356783919598,5.296523208789114,5.2956823930242205,5.295636112785028,5.295628210965765,5.295626038014411,5.29562475530758
3.064070351758794,5.26905831368533,5.268153519001008,5.268104024036911,5.268095570626078,5.268093245291614,5.26809187230986
3.1645728643216082,5.244167017954239,5.243196226777408,5.24314353743329,5.243134536802559,5.243132060245478,5.2431305976357265
3.2650753768844223,5.221597497469753,5.220558534422278,5.22050269209309,5.220493152724443,5.220490527262703,5.2204889763602
3.3655778894472363,5.2011271903018885,5.200017626149152,5.199958691529758,5.199948625819437,5.199945854881814,5.199944217684534
3.4660804020100504,5.182558202321987,5.181375248601906,5.181313299465683,5.181302723455443,5.181299811515444,5.18129809064715
3.5665829145728645,5.165713675872411,5.164454072152936,5.164389200733352,5.16437813378154,5.164375086275314,5.164373284939276
3.6670854271356785,5.150434892682164,5.149094788379466,5.149027098429231,5.149015562834357,5.149012386066047,5.149010507991485
3.7675879396984926,5.1365789375147095,5.1351537701227,5.135083373722047,5.135071394311049,5.135068095348972,5.135066144732155
3.8680904522613067,5.124016791156267,5.122501162609618,5.122428176789684,5.1224157804822426,5.122412367049014,5.122410348490913
3.9685929648241207,5.112631753423771,5.111019306158283,5.110943849398373,5.110931064757435,5.11092754511685,5.110925463558969
4.069095477386934,5.1023181212534725,5.100601415353557,5.100523604002899,5.100510460780248,5.100506843623391,5.100504704283255
4.169597989949748,5.092980065422253,5.091150458066702,5.091070402732831,5.091056931417139,5.091053225749794,5.0910510340573305
4.2701005025125625,5.08453066343302,5.08257819167543,5.082495993613031,5.082482224986431,5.082478440019506,5.0824762015553375
4.3706030150753765,5.076891056624893,5.074804324380056,5.074720071906196,5.074706036614081,5.074702181658393,5.074699902094845
4.471105527638191,5.06998970746792,5.067755777423473,5.0676695423780345,5.067655270515571,5.067651354881999,5.067649039927455
4.571608040201005,5.063761738902699,5.061366029938656,5.061277864202355,5.061263384920117,5.061259417825855,5.061257073172888
4.672110552763819,5.058148341975068,5.055574532552661,5.055484464629655,5.055469805759803,5.055465796241161,5.055463427518738
4.772613065326633,5.053096241268813,5.050326179144394,5.050234210811803,5.0502193985154245,5.050215355347419,5.050212968077344
4.873115577889447,5.048557210041506,5.045570828569824,5.045476931592787,5.045461990028348,5.045457921651124,5.045455521208758
4.973618090452261,5.04448762873804,5.041262869950903,5.04116698285878,5.04115193387105,5.041147848323035,5.041145439902269
5.074120603015075,5.040848081858121,5.03736082643765,5.037262851354718,5.037247714183107,5.037243619040663,5.037241207623015
5.174623115577889,5.037602989112112,5.0338269933210436,5.033726792843375,5.033711583848274,5.033707486171521,5.033705076499206
5.275125628140704,5.034720267507039,5.030627107090336,5.030524501199425,5.030509233604876,5.030505139889297,5.0305027364420525
5.375628140703518,5.032171021530175,5.027730042561284,5.027624805564335,5.027609489215178,5.027605405348545,5.027603012323958
5.476130653266332,5.029929258992261,5.025107535602452,5.02499939308893,5.024984034220465,5.0249799654446115,5.0249775867417075
5.576633165829146,5.027971630393207,5.02273392929261,5.022622555096724,5.022607156114851,5.022603106991774,5.02260074619757
5.67713567839196,5.026277189907044,5.020585941580327,5.020470954739406,5.020455514009177,5.0204514883909575,5.020449148769715
5.777638190954774,5.0248271762692704,5.01864245270683,5.018523414405978,5.018507926046525,5.0185039270485445,5.018501611533422
5.878140703517588,5.023604812002402,5.016884310808624,5.0167607213027905,5.016745174986615,5.016741204963563,5.016738916150398
5.978643216080402,5.022595119544153,5.0152941542476555,5.015165449752936,5.015149830507607,5.0151458910317785,5.015143631174739
6.0791457286432165,5.021784752954014,5.013856249330151,5.013721798877025,5.013706086887437,5.013702178728833,5.013699949737636
