tau,N_2,N_4,N_6,N_8,N_10,N_16
0.25,24.51113640571117,24.499627702877333,24.49750014296168,24.496755769797286,24.496411279290555,24.49603811548157
0.35050251256281406,17.828981392517615,17.813111572281073,17.810183279452115,17.809159162521798,17.808685280811783,17.808172007670617
0.4510050251256281,14.208248569483056,14.188249512101047,14.184569609094723,14.183283408468483,14.182688392070675,14.1820440131565
0.5515075376884422,11.970968443827534,11.947093951069393,11.942718343225831,11.94119030747536,11.94048364923133,11.939718534929478
0.6520100502512562,10.473261240454413,10.445761534905754,10.440748698184272,10.439000237694362,10.438192015171058,10.4373172031787
0.7525125628140703,9.414973021017316,9.384070573927389,9.378477531353523,9.376529857078419,9.375630111343598,9.374656640181668
0.8530150753768844,8.637336267368203,8.603205074289997,8.597083909203704,8.594956855861266,8.593975055223732,8.592913389574731
0.9535175879396985,8.048575092235058,8.011324751190918,8.00471988534438,8.002430997261918,8.001375621919168,8.000235208552551
1.0540201005025125,7.592052006317377,7.551717164507355,7.544663502503158,7.542227417260972,7.5411056810731845,7.539894652901988
1.1545226130653266,7.231031468949265,7.1875665248804905,7.180088455173631,7.177516582157571,7.17633429031821,7.175059317338803
1.2550251256281406,6.940746019438016,6.894024472058712,6.886135631357019,6.883436093653529,6.882197621840453,6.8808638934841655
1.3555276381909547,6.703976779067549,6.653794322237816,6.645497978470344,6.642675768586903,6.641384140891437,6.639995455355962
1.4560301507537687,6.50845266503652,6.454533012674997,6.445822899131614,6.4428801909690305,6.44153723014302,6.440096162180912
1.556532663316583,6.345248766534486,6.287251218494497,6.278112652087525,6.275049211371469,6.273655734769848,6.272163853192048
1.657035175879397,6.207761911523179,6.145289785264858,6.135700917896877,6.132514558466247,6.131070595388818,6.129528704006491
1.7575376884422111,6.091034249067217,6.023643465276182,6.013576542395369,6.010263584109807,6.008768594040274,6.0071769738230785
1.8580402010050252,5.99129453707026,5.918501825971628,5.9079243553206116,5.904480049115547,5.902933124808438,5.901291759811323
1.9585427135678393,5.905640015879908,5.826930382831221,5.815806145441346,5.812225040966767,5.810625084867163,5.808933859351633
2.059045226130653,5.83181159139575,5.746644831977361,5.734934694249095,5.731210934763468,5.729556801487424,5.727815660235098
2.159547738693467,5.7680324291404155,5.6758486086817195,5.6635111175565065,5.659638654832657,5.657929256167566,5.65613832401616
2.2600502512562812,5.712890522223676,5.613114430491405,5.600106192603404,5.596078921296653,5.594313293286973,5.592472953287539
2.3605527638190953,5.665252285552295,5.5572969452383845,5.543572805361439,5.53938462150858,5.537561955631474,5.5356728878830115
2.4610552763819094,5.624198364668903,5.5074677152818134,5.49298075950951,5.488625551595369,5.486745193809837,5.484808378977945
2.5615577889447234,5.588975549050827,5.462866449789832,5.447567865080004,5.443039448528169,5.44110087114233,5.439117563954215
2.6620603015075375,5.558960483547666,5.4228641840928375,5.4067030085982735,5.401995015770441,5.399997767682189,5.397969446381001
2.762562814070352,5.533632100231466,5.3869353214583136,5.369858120068777,5.364963858086254,5.362907499097977,5.360835797024375
2.863065326633166,5.512550544625441,5.354636296065631,5.336586793455663,5.331499081599335,5.329383106283079,5.327269731532367
2.96356783919598,5.495340969955749,5.325589210852079,5.306507910705189,5.3012189080227206,5.299042664116121,5.296889312700169
3.064070351758794,5.481681001078925,5.29946922995526,5.27929304450707,5.273794076761819,5.271556682401257,5.2693649496266595
3.1645728643216082,5.471290978812328,5.275994814749935,5.254656723867088,5.248938117283109,5.246638380612587,5.244409674561429
3.2650753768844223,5.463926320813178,5.254920119597559,5.232348873693171,5.2263998012336685,5.224036145136079,5.221771605279633
3.3655778894472363,5.459371500931658,5.236029031838038,5.212148908320032,5.205957252597322,5.203527646533434,5.201228069682312
3.4660804020100504,5.457435271727808,5.219130466404516,5.193861085262311,5.187413320695439,5.184915220943518,5.182580995982752
3.5665829145728645,5.457946846268954,5.2040546200478675,5.177310820718657,5.170591916278445,5.168022215267787,5.165653267469067
3.6670854271356785,5.460752823730204,5.1906499615762804,5.162341740435343,5.155335083267532,5.152690068203524,5.150285813362458
3.7675879396984926,5.465714694697437,5.178780788575708,5.1488132942520455,5.141500633647984,5.138775954236203,5.136335262452246
3.8680904522613067,5.472706800782636,5.168325222054991,5.136598804232276,5.128960214809566,5.126150859595929,5.123672028190959
3.9685929648241207,5.481614652408267,5.159173541530542,5.125583847879441,5.11759771041836,5.114697991061175,5.112178725908656
4.069095477386934,5.49233353076889,5.151226786611674,5.115664901927868,5.107307900054891,5.104311442719979,5.101748847116268
4.169597989949748,5.504767316795337,5.1443955689701495,5.106748190375954,5.097995321163327,5.094895064171122,5.092285634309147
4.2701005025125625,5.518827502744475,5.138599052045801,5.098748694170096,5.089573290701139,5.086361487541626,5.083701113629901
4.3706030150753765,5.534432351800985,5.133764065999025,5.091589290306871,5.08196305431402,5.0786312811690015,5.075915253262558
4.471105527638191,5.551506178547002,5.1298243330694735,5.085199995906202,5.075093038700051,5.071632205661801,5.068855223324062
4.571608040201005,5.569978728887561,5.126719784248855,5.079517298642126,5.068898188695495,5.065298553937348,5.062454738923453
4.672110552763819,5.5897846424341555,5.124395952490856,5.074483559276895,5.063319374993188,5.059570561223688,5.056653472458217
4.772613065326633,5.6108629837621535,5.122803430918047,5.07004647529393,5.058302861661798,5.054393874274111,5.051396524483243
4.873115577889447,5.633156831608868,5.121897386914348,5.066158597043893,5.0537998250517475,5.049719071459865,5.04663394490526
4.973618090452261,5.656612917148739,5.12163712481664,5.062776889617309,5.049765917465515,5.045501227195446,5.042320298040966
5.074120603015075,5.6811813041066435,5.1219856912946415,5.059862334996818,5.046160870298234,5.041699515473823,5.038414266394703
5.174623115577889,5.706815104753346,5.122909518550132,5.057379570042293,5.04294813234096,5.038276848269106,5.034878288984716
5.275125628140704,5.7334702268469115,5.12437810126154,5.055296556612797,5.0400945396748265,5.03519954529307,5.031678230768551
5.375628140703518,5.761105147400086,5.126363703812359,5.053584280697522,5.0375700141374145,5.032437032137974,5.0287830802564235
5.476130653266332,5.789680709811506,5.1288410948195855,5.0522164778628555,5.035347287763026,5.0299615642516216,5.0261646728074245
5.576633165829146,5.819159941432659,5.131787306356635,5.051169382660897,5.033401650922992,5.0277479745085385,5.023797437414214
5.67713567839196,5.8495078890793515,5.135181415569753,5.0504214999125665,5.031710722147298,5.025773442390315,5.021658165024547
5.777638190954774,5.880691470356228,5.1390043466368,5.04995339599512,5.030254237814157,5.024017282988103,5.019725796641898
5.878140703517588,5.912679338961401,5.143238691226212,5.04974750844323,5.029013860063392,5.022460754204703,5.017981229606683
5.978643216080402,5.94544176238752,5.147868545791713,5.049787972324693,5.027973001432585,5.021086880672578,5.016407140593806
6.0791457286432165,5.978950510645188,5.152879364192514,5.050060461983253,5.027116664838814,5.01988029302432,5.0149878239784975
6.1796482412060305,6.013178754811905,5.158257824264075,5.050552046856997,5.0264312976382435,5.0188270812584905,5.0137090443252506
6.280150753768845,6.048100974360342,5.163991707085211,5.051251060184696,5.025904658594292,5.017914661039542,5.01255790184766
6.380653266331659,6.083692872348686,5.170069787795766,5.052146979506757,5.025525696674818,5.017131651858051,5.011522709771942
6.481155778894473,6.11993129766637,5.176481736917431,5.053230317953843,5.025284440681365,5.016467766058268,5.01059288261569
6.581658291457287,6.156794173624013,5.183218031219984,5.0544925253958475,5.025171898790022,5.015913707815028,5.009758834466775
6.682160804020101,6.194260432258936,5.190269873257303,5.055925898597613,5.025179967154707,5.01546108121206,5.009011886415906
6.782663316582915,6.232309953799516,5.197629118772848,5.057523499596231,5.025301346790056,5.015102306639167,5.00834418236073
6.883165829145729,6.270923510794113,5.2052882112435785,5.059279081578268,5.025529468013095,5.014830544786982,5.007748612459678
6.983668341708543,6.310082716465085,5.2132401228949945,5.06118702159436,5.025858421780693,5.014639627575218,5.007218743570316
7.084170854271357,6.349769976896239,5.221478301578532,5.063242259503381,5.026282897313722,5.014523995403814,5.006748756059898
7.184673366834171,6.38996844670422,5.229996622956523,5.0654402425892755,5.026798125448943,5.014478640166175,5.006333386425263
7.285175879396985,6.430661987881329,5.238789347489376,5.067776875340726,5.027399827206387,5.014499053510181,5.005967875205376
7.385678391959799,6.471835131529969,5.2478510817651385,5.0702484739274025,5.0280841671031355,5.014581179875664,5.005647919712666
7.486180904522613,6.51347304223769,5.2571767437532975,5.072851724946721,5.028847710784504,5.014721373877084,5.00536963114926
