tau,N_2,N_4,N_6,N_8,N_10,N_16
0.25,24.495793341418867,24.49579857720519,24.495798857607284,24.495798904800207,24.49579891769765,24.4957989252805
0.35050251256281406,17.807827233650094,17.80784205050427,17.80784284483009,17.807842978545533,17.807843015091596,17.807843036579236
0.4510050251256281,14.181596249285185,14.181628887662566,14.181630639762638,14.181630934786755,14.181631015428366,14.18163106284528
0.5515075376884422,11.939162108861579,11.939224155113829,11.939227491492307,11.939228053468216,11.939228207096928,11.93922829743664
0.6520100502512562,10.436642637493833,10.43674965616913,10.43675542234673,10.436756393978726,10.436756659634785,10.436756815864797
0.7525125628140703,9.373849505181509,9.374021713096045,9.374031013190805,9.374032581024085,9.374033009761227,9.374033261923676
0.8530150753768844,8.591953207792038,8.59221615329796,8.592230391043001,8.59223279252586,8.592233449357463,8.592233835719105
0.9535175879396985,7.999094466850148,7.999479684924392,7.999500604711454,7.999504135308997,7.9995051011731455,7.999505669388175
1.0540201005025125,7.538537955370088,7.539083577752964,7.539113304728402,7.539118324930043,7.53911969863101,7.5391205068920355
1.1545226130653266,7.173442691193672,7.174193999291456,7.174235077960844,7.174242020095642,7.17424392019899,7.174245038362884
1.2550251256281406,6.878934243351818,6.879944158898018,6.879999590061629,6.880008964896788,6.880011531571831,6.880013042257087
1.3555276381909547,6.637690149760947,6.639019663718944,6.63909293983402,6.639105342977563,6.639108739793552,6.639110739453032
1.4560301507537687,6.437342729669076,6.439061273401106,6.439156412640317,6.439172530798032,6.439176946488288,6.43917954646597
1.556532663316583,6.268879763500477,6.271065527978397,6.271187107335026,6.271207724485418,6.2712133746973855,6.271216702279873
1.657035175879397,6.125621210948602,6.128361420070787,6.128514607866614,6.128540611418529,6.128547740468019,6.128551939941788
1.7575376884422111,6.0025429999601165,6.005934143266753,6.006124731368304,6.006157118357547,6.006166001003146,6.00617123472716
1.8580402010050252,5.895817807554803,5.899965836200482,5.90020027216327,5.900240155530112,5.900251098779861,5.900257548280891
1.9585427135678393,5.802495938111188,5.807516426215999,5.807801845472483,5.80785046044451,5.807863805402142,5.807871672497369
2.059045226130653,5.720279224024965,5.726297495776481,5.726641753876663,5.726700464463327,5.726716588216483,5.726726096165023
2.159547738693467,5.647358218173949,5.654509439513667,5.654921144328848,5.6549914499173495,5.655010767465574,5.655022162147922
2.2600502512562812,5.582293372402654,5.59072260494995,5.591211148668291,5.591294690696357,5.591317656912819,5.591331208034911
2.3605527638190953,5.523927349562259,5.533789563686113,5.53436515436796,5.534463723038398,5.53449083465637,5.534506836973216
2.4610552763819094,5.471319719672038,5.482779763334974,5.4834534557581085,5.48356899675318,5.48360079436636,5.483619568919128
2.5615577889447234,5.423697963787461,5.436930483926841,5.4377142094363675,5.437848830586802,5.437885900651689,5.437907796011467
2.6620603015075375,5.380420489879034,5.3956098035924365,5.396516398674137,5.396672376537678,5.396715353366124,5.396740746877685
2.762562814070352,5.340948575969528,5.3582884895454965,5.359331722861676,5.359511509168765,5.359561076899593,5.359590375918756
2.863065326633166,5.3048249950580955,5.3245185698453135,5.325713167503801,5.325919395432681,5.325976289972407,5.326009933091384
2.96356783919598,5.271657668329801,5.293916933473416,5.2952786023393505,5.295514092588773,5.295579103513095,5.29561756176907
3.064070351758794,5.241107117419327,5.266152730530785,5.267698179432914,5.267965946067088,5.268039918476501,5.2680836965397075
3.1645728643216082,5.212876794977538,5.240937652777938,5.242684611503199,5.242987867550155,5.2430717038747545,5.243121341213311
3.2650753768844223,5.1867055999202005,5.218018401759296,5.219985637768828,5.2203278005593985,5.220422462309639,5.220478534329362
3.3655778894472363,5.162362052761336,5.197170820635171,5.199378153469975,5.1997628497101,5.199869359171619,5.199932478329858
3.4660804020100504,5.1396397333028006,5.178195292558844,5.180663605933069,5.181094676506608,5.18121411837852,5.181284935271771
3.5665829145728645,5.118353678806543,5.160913104134922,5.163664355738926,5.164145860241859,5.164279383218856,5.164358587644464
3.6670854271356785,5.098337513530803,5.145163545102543,5.148220774156523,5.148756995166207,5.1489058134655235,5.148994135458234
3.7675879396984926,5.079441135885274,5.130801570628017,5.134188903240667,5.134784350325725,5.134949745160559,5.135047956004911
3.8680904522613067,5.0615288316522005,5.117695894668818,5.121438547064752,5.1220979605424395,5.122281281543715,5.122390194763532
3.9685929648241207,5.044477713858831,5.1057274149142575,5.10985169459964,5.110580049048198,5.110782715636719,5.110903187962955
4.069095477386934,5.028176414331097,5.094787894176648,5.099321199115271,5.100123706648937,5.100347209360003,5.10048014167827
4.169597989949748,5.012523970505602,5.084778841595511,5.089749657468196,5.090631770782422,5.090877672544922,5.091024010823964
4.2701005025125625,4.99742886510502,5.075610551002585,5.081048446621938,5.082015861815934,5.0822857991877886,5.082446535390064
4.3706030150753765,4.982808186852318,5.067201264336285,5.073136885286861,5.0741955444700215,5.0744912288316675,5.0746674018071305
4.471105527638191,4.9685868883316235,5.05947643590793,5.065941496479362,5.067097590167489,5.067420808874904,5.067613505238908
4.571608040201005,4.954697123030385,5.052368079239366,5.059395352717165,5.060655322023685,5.061007939522232,5.061218294518378
4.672110552763819,4.941077648006777,5.045814182598023,5.053437489973928,5.054808028600645,5.055191987500792,5.0554211858494025
4.772613065326633,4.927673281892765,5.039758182624629,5.048012379785593,5.049500435816815,5.04991775793261,5.05016703466537
4.873115577889447,4.914434410353855,5.034148487865949,5.043069451318387,5.044682228821704,5.045135016172658,5.045405657453879
4.973618090452261,4.901316532900014,5.028938045808078,5.038562656991743,5.04030761742816,5.040798053205051,5.041091397139868
5.074120603015075,4.888279846244241,5.0240839483194595,5.03445007656344,5.036334940009104,5.036865289504041,5.0371827269337786
5.174623115577889,4.875288860360515,5.019547071381272,5.0306935555530545,5.03272630173444,5.033298913235388,5.033641888520235
5.275125628140704,4.862312044094963,5.015291745699129,5.02725837459643,5.029447243740436,5.030064549390311,5.030434561179382
5.375628140703518,4.849321497702266,5.011285455322986,5.024112946857115,5.026466440357342,5.027130956977649,5.027529558966415
5.476130653266332,4.836292650065055,5.007498561803034,5.021228541021841,5.023755421922062,5.024469751801008,5.0248985534760635
5.576633165829146,4.823203978644763,5.003904051715202,5.018579027713295,5.021288321008979,5.022055152653886,5.022515820024939
5.67713567839196,4.810036750435326,5.0004773056281255,5.016140647391718,5.019041640150367,5.019863749004201,5.020358005323154
5.777638190954774,4.796774782366088,4.997195886773321,5.013891798007021,5.0169940393080275,5.0178742884297645,5.018403914896709
5.878140703517588,4.783404219741044,4.994039347835857,5.01181284081874,5.015126141513438,5.0160674822220255,5.016634318677959
5.978643216080402,4.7699133314183095,4.990989054413996,5.009885922932462,5.013420355225045,5.014425827706629,5.015031773312699
6.0791457286432165,4.756292320533128,4.988028023809714,5.008094815214793,5.011860712064851,5.012933445942981,5.013580459845979
6.1796482412060305,4.742533149654783,4.985140777912602,5.00642476434969,5.01043271869712,5.011575933565611,5.0122660355495405
6.280150753768845,4.7286293793456355,4.982313209030645,5.004862357889861,5.009123221703043,5.010340227621196,5.01107549874461
6.380653266331659,4.714576019161382,4.979532457604719,5.003395401240422,5.007920284388637,5.009214482338482,5.009997065557397
6.481155778894473,4.700369390197018,4.9767868008211655,5.002012805589367,5.006813074540528,5.00818795684585,5.009020057621938
6.581658291457287,4.686006998343799,4.974065551208923,5.0007044858716405,5.005791762216558,5.007250912923388,5.008134799817236
6.682160804020101,4.671487417479415,4.971358964375591,4.999461267921309,5.004847426725851,5.006394521944187,5.007332527193357
6.782663316582915,4.656810181867009,4.968658155100344,4.998274804029968,5.003971972016583,5.005610780223103,5.006605300304786
6.883165829145729,4.641975687088797,4.965955021061504,4.997137496189221,5.003158049749482,5.00489243205105,5.005945928229034
6.983668341708543,4.626985098887236,4.963242173532704,4.996042426351202,5.002398989391148,5.004232899748911,5.0053478986047
7.084170854271357,4.611840269330868,4.96051287443422,4.9949832930936795,5.001688734713896,5.003626220127832,5.004805314075654
7.184673366834171,4.596543659763483,4.957760979175334,4.993954354125451,5.001021786137976,5.003066986791766,5.0043128345772905
7.285175879396985,4.581098270033986,4.954980884769618,4.992950374113707,5.000393148398012,5.00255029776413,5.003865624946698
7.385678391959799,4.56550757354066,4.952167482747854,4.9919665773578,4.999798283058235,5.002071707963185,5.003459307381365
7.486180904522613,4.549775457657274,4.949316116433206,4.990998604873652,4.999233065440873,5.001627186090557,5.003089918310854
7.586683417085427,4.533906169140026,4.946422542180187,4.99004247548988,4.998693745568976,5.001213075534153,5.00275386928271
7.687185929648241,4.517904264143511,4.9434828942132505,4.989094550590928,4.998176912759018,5.000826058920908,5.002447911498059
7.7876884422110555,4.501774562501167,4.940493652732397,4.98815150217396,4.997679463530267,5.000463125986318,5.002169103663841
7.88819095477387,4.485522105950817,4.937451614982372,4.987210283915429,4.997198572526869,5.0001215444568,5.001914782857748
7.988693467336684,4.469152120009335,4.934353869008915,4.9862681049699376,4.996731666175457,4.999798833667666,5.001682538128664
8.089195979899497,4.452669979222119,4.93119776985014,4.985322406248661,4.996276398825643,4.9994927406641265,5.001470186580017
8.18969849246231,4.436081175533058,4.927980917933825,4.984370838947179,4.995830631143347,4.999201218555295,5.001275751706053
8.290201005025125,4.419391289539294,4.924701139472126,4.983411245113205,4.9953924105475895,4.998922406911851,5.001097443771668
8.390703517587939,4.402605964412177,4.921356468664265,4.982441640063735,4.99495995350033,4.998654614016968,5.000933642045452
8.491206030150753,4.385730882281747,4.9179451315350855,4.981460196478395,4.994531629476242,4.998396300797427,5.000782878712827
8.591708542713567,4.368771742896692,4.914465531253292,4.9804652300115695,4.994105946455127,4.998146066277626,5.000643824312055
8.692211055276381,4.351734244385426,4.91091623478764,4.979455186280445,4.993681537794104,4.997902634413689,5.000515274550274
8.792713567839195,4.334624065956378,4.907295960772601,4.97842862909912,4.99325715034988,4.997664842177942,5.000396138369896
8.89321608040201,4.3174468523873655,4.903603568467003,4.977384229841044,4.992831633733391,4.997431628776123,5.000285427147686
8.993718592964823,4.300208200164598,4.899838047700194,4.976320757822916,4.992403930590024,4.997202025890523,5.000182244919762
9.094221105527637,4.282913645141927,4.895998509710168,4.975237071613144,4.991973067808536,4.996975148852215,5.000085779535687
9.194723618090451,4.265568651600183,4.892084178787201,4.974132111176955,4.991538148570874,4.996750188654592,4.999995294653848
9.295226130653266,4.248178602595062,4.888094384644796,4.973004890778523,4.991098345163256,4.996526404728576,4.999910122498529
9.39572864321608,4.230748791489974,4.884028555447175,4.97185449256791,4.990652892476358,4.996303118407396,4.9998296573065515
9.496231155778894,4.213284414577683,4.879886211429412,4.970680060787392,4.990201082129226,4.996079707015521,4.999753349398113
9.596733668341708,4.195790564701467,4.875666959052403,4.969480796537917,4.98974225715765,4.99585559852257,4.999680699812609
9.697236180904522,4.1782722257928695,4.8713704856405124,4.9682559530520125,4.989275807213379,4.995630266708521,4.999611255455801
9.797738693467336,4.160734268249127,4.866996554454777,4.9670048314245,4.988801164225521,4.9954032267916455,4.999544604709752
9.89824120603015,4.143181445078817,4.862545000159149,4.965726776757055,4.988317798480175,4.995174031475173,4.999480373461534
9.998743718592964,4.125618388749482,4.858015724641422,4.964421174676686,4.987825215078395,4.994942267372845,4.9994182215108856
10.099246231155778,4.108049608675731,4.853408693154273,4.963087448192111,4.98732295073643,4.994707551777286,4.999357839320748
10.199748743718592,4.090479489290818,4.8487239307452015,4.961725054855347,4.986810570895579,4.994469529738563,4.999298945078042
10.300251256281408,4.072912288648812,4.843961518947344,4.960333484198957,4.986287667112071,4.994227871423344,4.999241282035135
10.400753768844222,4.055352137508414,4.839121592705813,4.9589122554222245,4.985753854700251,4.9939822697279395,4.999184616105264
10.501256281407036,4.037803038853003,4.834204337516826,4.9574609153020415,4.9852087706048005,4.993732438121011,4.999128733687685
10.60175879396985,4.020268867804942,4.82920998675914,4.955979036306628,4.984652071480123,4.993478108694015,4.99907343970068
10.702261306532664,4.002753371895255,4.824138819199348,4.954466214892257,4.984083431957011,4.993219030399583,4.999018555802575
10.802763819095478,3.9852601716527283,4.818991156654516,4.95292206996509,4.983502543078702,4.992954967459891,4.998963918782836
10.903266331658292,3.9677927614792354,4.8137673617972485,4.951346241491899,4.9829091108900165,4.992685697928777,4.998909379107034
11.003768844221106,3.9503545107805906,4.808467836089873,4.949738389245041,4.982302855164938,4.992411012392927,4.998854799600978
11.10427135678392,3.9329486653246426,4.8030930178357085,4.948098191668403,4.9816835082593105,4.992130712798844,4.99880005426073
11.204773869346734,3.9155783488005036,4.797643380336706,4.9464253448523685,4.98105081407663,4.991844611393568,4.99874502717651
11.305276381909549,3.898246564554861,4.7921194301478245,4.944719561606948,4.980404527136059,4.991552529768278,4.998689611559578
11.405778894472363,3.880956197483278,4.786521705419481,4.942980570623284,4.979744411732786,4.991254297994935,4.998633708862303
11.506281407035177,3.863710016056115,4.7808507743203945,4.941208115714693,4.9790702411818595,4.99094975384707,4.998577227982483
11.60678391959799,3.8465106744604114,4.775107233533863,4.939401955129228,4.978381797137434,4.990638742096643,4.99852008454389
11.707286432160805,3.8293607148405875,4.769291706821326,4.937561860926555,4.977678868980099,4.990321113879725,4.998462200245755
11.807788944723619,3.8122625696222903,4.763404843647673,4.935687618412575,4.976961253265753,4.989996726124371,4.998403502274597
11.908291457286433,3.795218563905011,4.757447317863366,4.933779025625953,4.976228753230022,4.98966544103477,4.998343922772455
12.008793969849247,3.7782309179103715,4.751419826438974,4.931835892871163,4.97548117834284,4.989327125626229,4.998283398356128
12.109296482412061,3.7613017494741245,4.745323088248193,4.929858042293282,4.974718343908304,4.988981651306163,4.998221869682539
12.209798994974875,3.744433076570993,4.739157842895843,4.927845307490178,4.973940070705399,4.988628893496639,4.998159281055831
12.31030150753769,3.727626819862429,4.73292484958774,4.925797533158171,4.973146184665594,4.988268731294516,4.998095580072206
12.410804020100503,3.710884805258368,4.726624886039646,4.923714574767634,4.972336516583699,4.987901047165541,4.998030717298875
12.511306532663317,3.694208766484839,4.720258747422824,4.921596298265344,4.971510901858718,4.987525726669162,4.997964645983906
12.611809045226131,3.6776003476501073,4.7138272453440235,4.919442579800711,4.970669180261741,4.9871426582110905,4.997897321793959
12.712311557788945,3.6610611058027955,4.707331206857901,4.917253305473286,4.969811195728199,4.98675173282094,4.9978287025773005
12.81281407035176,3.644592513476028,4.700771473510172,4.915028371099224,4.968936796172089,4.986352843952539,4.997758748149639
12.913316582914574,3.6281959612123553,4.694148900409906,4.912767681994588,4.968045833319943,4.985945887304714,4.997687420100612
13.013819095477388,3.61187276006472,4.68746435532963,4.910471152773604,4.967138162562602,4.985530760660576,4.9976146816189635
13.114321608040202,3.5956241440693115,4.680718717831977,4.908138707160173,4.966213642822993,4.985107363743528,4.99754049733461
13.214824120603016,3.5794512726866166,4.6739128784218,4.905770277811103,4.9652721364382835,4.984675598088353,4.997464833175982
13.31532663316583,3.5633552332074325,4.667047737722786,4.903365806149669,4.964313509054974,4.984235366925954,4.997387656241196
13.415829145728644,3.5473370431210247,4.660124205677686,4.900925242208299,4.963337629535585,4.983786575080386,4.99730893468171
13.516331658291458,3.5313976524429984,4.653143200771386,4.898448544479255,4.96234436987576,4.9833291288770125,4.997228637597286
13.616834170854272,3.5155379460007987,4.646105649276125,4.895935679772321,4.961333605130694,4.9828629360606795,4.997146734941182
13.717336683417086,3.499758745675055,4.639012484518221,4.893386623078606,4.960305213349918,4.98238790572295,4.997063197434581
13.8178391959799,3.4840608125953207,4.631864646165759,4.890801357439685,4.959259075519553,4.981903948237495,4.996977996489385
13.918341708542714,3.4684448492889777,4.624663079536698,4.888179873821332,4.958195075511237,4.981410975202845,4.9968911041385615
14.018844221105528,3.452911501782367,4.617408734926953,4.885522170991262,4.957113100037005,4.980908899391787,4.996802492973344
14.119346733668342,3.437461361653375,4.610102566958012,4.882828255400262,4.956013038609466,4.980397634706732,4.996712136086606
14.219849246231156,3.422094968034961,4.602745533943698,4.880098141066264,4.954894783506701,4.979877096140475,4.996620007021824
14.32035175879397,3.4068128095692587,4.595338597275714,4.877331849460868,4.95375822974133,4.979347199741805,4.996526079727116
14.420854271356784,3.391615326312052,4.587882720827614,4.874529409397963,4.952603275033284,4.978807862585484,4.996430328513833
14.521356783919598,3.3765029115876,4.580378870376907,4.871690856924065,4.951429819785852,4.978259002746137,4.996332728019308
14.621859296482413,3.3614759137938828,4.572828013044961,4.868816235210089,4.950237767064589,4.9777005392757,4.9962332531733225
14.722361809045227,3.346534638158499,4.565231116754451,4.86590559444428,4.949027022578755,4.977132392184004,4.996131879167986
14.82286432160804,3.331679348445513,4.5575891497040395,4.862958991726063,4.947797494664954,4.976554482422221,4.996028581430641
14.923366834170855,3.3169102686136904,4.549903079860047,4.859976490960621,4.946549094272695,4.975966731868869,4.995923335599572
15.023869346733669,3.302227584426607,4.54217387446485,4.856958162754016,4.945281734951601,4.975369063318072,4.995816117502173
15.124371859296483,3.287631445015202,4.534402499561729,4.853904084308705,4.943995332840045,4.974761400469895,4.99570690313542
15.224874371859297,3.2731219643934466,4.526589919535953,4.850814339319316,4.942689806655004,4.974143667922481,4.995595668648363
15.325376884422111,3.2586992229277856,4.518737096671815,4.847689017868593,4.941365077682925,4.973515791165831,4.995482390326474
15.425879396984925,3.2443632687611395,4.5108449907254045,4.844528216323402,4.940021069771457,4.9728776965770285,4.995367044577669
15.52638190954774,3.2301141191922333,4.502914558512841,4.841332037230725,4.938657709321877,4.972229311416753,4.995249607919839
15.626884422110553,3.215951762011099,4.4949467535137595,4.838100589213588,4.9372749252820745,4.971570563826936,4.995130056969759
15.727386934673367,3.201876156791602,4.486942525489768,4.834833986866888,4.935872649139983,4.970901382829432,4.995008368433214
15.827889447236181,3.187887236141875,4.478902820117665,4.8315323506530445,4.934450814917341,4.970221698325582,4.9948845190962645
15.928391959798995,3.1739849069135713,4.470828578637129,4.828195806797494,4.933009359163663,4.969531441096556,4.994758485817499
16.02889447236181,3.160169051370858,4.4627207375126865,4.824824487183992,4.9315482209503845,4.968830542804389,4.994630245521227
16.12939698492462,3.1464395283200726,4.454580228109645,4.821418529249709,4.930067341865041,4.968118935993609,4.994499775191465
16.229899497487438,3.1327961742009967,4.446407976383805,4.817978075880133,4.928566666005448,4.9673965540933915,4.994367051866702
16.33040201005025,3.1192388041406867,4.438204902584645,4.814503275303773,4.927046139973812,4.966663331420155,4.9942320526353114
16.430904522613066,3.105767212970807,4.4299719209717585,4.8109942809866855,4.925505712870713,4.965919203180538,4.994094754631591
16.531407035175878,3.0923811762094187,4.421709939544261,4.807451251526838,4.923945336288903,4.965164105474702,4.993955135032338
16.631909547738694,3.0790804510081564,4.413419859782941,4.803874350548316,4.922364964306903,4.964397975299905,4.993813171053938
16.732412060301506,3.0658647770657574,4.405102576404868,4.80026374659543,4.920764553482321,4.9636207505542895,4.99366883994989
16.832914572864322,3.0527338775088317,4.396758977130207,4.796619613026707,4.919144062844893,4.962832370040858,4.993522119008738
16.933417085427134,3.0396874597408368,4.388389942460983,4.792942127908842,4.917503453889203,4.962032773471573,4.9933729855523765
17.03391959798995,3.026725216260148,4.379996345471531,4.789231473910612,4.915842690567044,4.961221901471582,4.99322141693468
17.134422110552762,3.0138468254481228,4.371579051610359,4.785487838196792,4.914161739279434,4.960399695583491,4.993067390540433
17.234924623115578,3.001051952328053,4.363138918513183,4.781711412322128,4.912460568868226,4.959566098271695,4.992910883784528
17.33542713567839,2.988340249295874,4.354676795826845,4.777902392125383,4.91073915060733,4.95872105292672,4.9927518741114065
17.435929648241206,2.9757113568234907,4.34619352504387,4.774060977623496,4.908997458193515,4.957864503869558,4.992590338994725
17.53643216080402,2.9631649041355588,4.337689939347393,4.770187372905928,4.9072354677367915,4.95699639635598,4.9924262559371995
17.636934673366834,2.9507005098605488,4.329166863466194,4.766281786029175,4.905453157750354,4.956116676580789,4.992259602470652
17.737437185929647,2.9383177826569096,4.320625113539574,4.762344428911552,4.9036505091400935,4.955225291682026,4.992090356156204
17.837939698492463,2.926016321815104,4.312065496991824,4.75837551722824,4.901827505193658,4.954322189745084,4.99191849458461
