tau,N_2,N_4,N_6,N_8,N_10,N_16
0.25,36.255752295487646,36.25579841142689,36.25580088511819,36.25580130158264,36.255801415412236,36.25580148234126
0.35050251256281406,26.070931780087605,26.07106005415088,26.071066952502548,26.071068114477725,26.071068432132144,26.07106861892629
0.4510050251256281,20.502632363114515,20.50290947106744,20.50292442414945,20.50292694457183,20.502927633761484,20.502928039094858
0.5515075376884422,17.032160568443107,17.032676785849375,17.03270475924138,17.032709478238175,17.03271076900756,17.03271152829017
0.6520100502512562,14.691405725765291,14.692278492196913,14.692326024415971,14.692334050877983,14.692336247131289,14.692337539344202
0.7525125628140703,13.027569758034359,13.028947698619382,13.029023179336521,13.029035939960984,13.029039433091608,13.029041488881608
0.8530150753768844,11.799883330244592,11.80195035040918,11.802064321613408,11.80208361454095,11.802088898392702,11.80209200897747
0.9535175879396985,10.868173539603294,10.871152640717849,10.871318104243793,10.87134615462201,10.871353841066542,10.871358367534727
1.0540201005025125,10.145181517690144,10.149338064113012,10.149570782685725,10.149610298110051,10.149621132693408,10.149627515382827
1.1545226130653266,9.57375508334833,9.579399350093125,9.579718133534728,9.579772358059545,9.579787235372502,9.579796003127967
1.2550251256281406,9.114959860544417,9.122448781014654,9.12287575330702,9.122948519387675,9.122968497996109,9.12298027721491
1.3555276381909547,8.741439734791761,8.751177837609335,8.751738683531533,8.751834461755111,8.751860778661687,8.751876302113953
1.4560301507537687,8.43349328172248,8.445932851969868,8.446657043911614,8.446780990681225,8.446815075373129,8.446835190833196
1.556532663316583,8.176643804226325,8.192284330290308,8.193205336733248,8.193363340212379,8.19340682838815,8.193432507135654
1.657035175879397,7.960074371080844,7.979461348882876,7.9806168261996895,7.980815550842575,7.9808702979162,7.980902643168544
1.7575376884422111,7.775586540135048,7.799309707249907,7.800741676165814,7.800988606101189,7.801056700565402,7.8010969558937715
1.8580402010050252,7.61688847622067,7.645579543792232,7.647334551313138,7.647638032749983,7.6477218094534,7.647771367218437
1.9585427135678393,7.479097175475846,7.513427119312821,7.515556386319948,7.515925669033017,7.516027722395078,7.516088132220271
2.059045226130653,7.358383826860332,7.399059792820845,7.401619346977504,7.402064624826737,7.402187821985527,7.4022607992692855
2.159547738693467,7.251717182691664,7.299479056623761,7.302529849801923,7.303062300154203,7.30320979401809,7.303297228471148
2.2600502512562812,7.156675410694872,7.212292100210281,7.21590010935211,7.216531931211451,7.216707173367576,7.2168111375516615
2.3605527638190953,7.071306619075784,7.135572093197907,7.139808403383376,7.1405528539972565,7.140759607418432,7.140882365255118
2.4610552763819094,6.994024474792119,7.067753607628459,7.072694476110833,7.073565905804151,7.0738082572901515,7.073952272505307
2.5615577889447234,6.9235294295909835,7.0075536950857815,7.01328059515844,7.014294480148783,7.014576852437484,7.014744796906088
2.6620603015075375,6.858748821391643,6.953911887348779,6.960511531092098,6.961684504056561,6.962011667543679,6.962206429501391
2.762562814070352,6.798791007117638,6.905944277545625,6.913508616743663,6.914858494933871,6.915235578946054,6.91546027103715
2.863065326633166,6.74291000158965,6.862908156622409,6.871534361410802,6.873080172145291,6.873512675718971,6.873770642854424
2.96356783919598,6.690478031871466,6.824174613808349,6.833965028895923,6.835727032294028,6.836220834420888,6.836515661425005
3.064070351758794,6.64096408804704,6.789207180313971,6.800269258894674,6.8022689677513055,6.802830337059613,6.803165856088294
3.1645728643216082,6.593917039413106,6.75754508247242,6.769991298199378,6.772251494933207,6.772887098782326,6.7732673965004295
3.2650753768844223,6.548952243103118,6.728790027624347,6.742737765246479,6.745282515884263,6.7459994288568375,6.7464288533660595
3.3655778894472363,6.505740836945158,6.702595710050431,6.718167135510112,6.721021800696251,6.721827512478774,6.722310679990881
3.4660804020100504,6.464001105476763,6.6786594207895575,6.695981331745848,6.699172574788625,6.7000749974363245,6.700616798689316
3.5665829145728645,6.42349145556827,6.656715292335503,6.675918950212182,6.67947474219658,6.680482216782714,6.681087823199727
3.6670854271356785,6.384004648986554,6.636528819920905,6.657749764683982,6.661699386695777,6.662820689348644,6.66349555894105
3.7675879396984926,6.345363022841771,6.617892384735759,6.641270233683961,6.645644276201384,6.6468886235347915,6.647638506552106
3.8680904522613067,6.307414492066498,6.600621567828458,6.6262997997356985,6.631130159253782,6.63250721319839,6.633338157528398
3.9685929648241207,6.270029175950875,6.584552091640422,6.612677817624455,6.6179976905837785,6.619517562627858,6.620435918950765
4.069095477386934,6.233096527071762,6.569537262871137,6.60026098538061,6.606104859476905,6.607778114325733,6.608790541026363
4.169597989949748,6.19652286853265,6.555445818451382,6.588921179767055,6.595324822721432,6.5971624813848715,6.598275949226857
4.2701005025125625,6.160229266398034,6.5421600979135395,6.578543619550899,6.585544065422751,6.58755760774063,6.588779404306418
4.3706030150753765,6.124149680163751,6.529574481966832,6.569025296348827,6.576660829474906,6.578862196089706,6.580199929989908
4.471105527638191,6.088229346266339,6.517594049803842,6.560273625545755,6.568583762189793,6.570985355975988,6.572446960831262
4.571608040201005,6.052423358918637,6.506133417485283,6.552205279600191,6.561230747398001,6.563845434357052,6.565439172555389
4.672110552763819,6.016695419662726,6.495115727357044,6.544745173651304,6.554527888936527,6.557368998566319,6.55910346479817
4.772613065326633,5.981016732483829,6.484471764367403,6.5378255792519075,6.548408622347714,6.551489947494877,6.553374072068246
4.873115577889447,5.945365025530961,6.474139179768244,6.531385346663857,6.542812935225977,6.546148731429309,6.548191783366562
4.973618090452261,5.909723683746025,6.464061806303611,6.52536921976875,6.5376866802652085,6.541291664598165,6.543503254515999
5.074120603015075,5.874080979242685,6.454189051841236,6.51972723049671,6.532980967909695,6.536870317329788,6.539260400103496
5.174623115577889,5.838429388273971,6.444475360663199,6.514414161934572,6.5286516277699205,6.53284097698266,6.53541985419562
