tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N0,Energy_H_N0
0.1875,941811491.6986084,942846196.7065783,942615177.9223022,942874074.9133087,942816465.6930542,942881203.7621402,942883594.4490356,942883594.4490356
0.3125,939932507.4418945,942800953.8147031,942105955.6729736,942824725.4755806,942651801.2224121,942831597.78484,942833971.1826172,942833971.1826172
0.4375,937195933.1867676,942801719.4082218,941405411.3562012,942813152.6024306,942466911.0627441,942819243.2057043,942821565.1433105,942821565.1433105
0.5625,933595309.869873,942826415.8390453,940485270.635498,942810078.5859828,942232118.2548828,942814399.7610674,942816602.597168,942816602.597168
0.6875,929155899.7050781,942880004.1807024,939342561.9467773,942811203.6092395,941942583.6298828,942812144.2730345,942814121.4179688,942814121.4179688
0.8125,923912730.5410156,942972941.9010537,937978328.7080078,942815924.4584856,941597051.4091797,942811116.2108777,942812703.6904297,942812703.6904297
0.9375,917907137.7324219,943118210.2409418,936394964.4487305,942824678.4075001,941195171.3007812,942810839.8916525,942811817.4672852,942811817.4672852
1.0625,911185289.3574219,943330375.859411,934595595.1835938,942838335.8759784,940736929.9550781,942811156.1266252,942811226.6850586,942811226.6850586
1.1875,903797093.6103516,943625066.119304,932583894.7998047,942858027.6740335,940222454.9433594,942812026.3715404,942810813.3515625,942810813.3515625
1.3125,895795178.5537109,944018527.3991927,930363987.2714844,942885060.2202979,939651963.5839844,942813481.8025249,942810512.5351562,942810512.5351562
1.4375,887233965.9033203,944527272.5394112,927940404.1835938,942920887.3932229,939025725.6591797,942815586.2615484,942810286.9775391,942810286.9775391
1.5625,878168762.0683594,945167721.5767486,925318043.6523438,942967084.7071141,938344052.2753906,942818425.3884287,942810113.4765625,942810113.4765625
1.6875,868654962.9882812,945955923.439753,922502136.1748047,943025331.2819651,937607297.1123047,942822108.2054052,942809977.2431641,942809977.2431641
1.8125,858747293.6630859,946907263.630207,919498219.0029297,943097401.198409,936815846.1396484,942826757.1397359,942809868.2216797,942809868.2216797
1.9375,848499211.359375,948036289.2544386,916312104.4414062,943185149.2524471,935970104.9736328,942832495.6511203,942809779.6386719,942809779.6386719
2.0625,837962328.4707031,949356490.5440181,912949832.3095703,943290480.7283058,935070524.7666016,942839474.66796,942809706.7441406,942809706.7441406
2.1875,827185997.8515625,950880193.0869342,909417678.3798828,943415379.0639452,934117573.7558594,942847844.3540872,942809645.9921875,942809645.9921875
2.3125,816216958.8378906,952618450.1280603,905722093.4394531,943561862.2968328,933111748.6464844,942857765.9796832,942809595.1542969,942809595.1542969
2.4375,805099092.4277344,954580991.7908428,901869648.4667969,943731945.0768435,932053569.4238281,942869407.1244329,942809551.7011719,942809551.7011719
