tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N0,Energy_H_N0
0.09375,526678.2778820704,526714.4465809254,526713.1196917377,526713.1196917377
0.15625,490721.67383566353,490815.27900247776,490814.00086528255,490814.00086528255
0.21875,481047.3157662184,481227.16100956796,481225.87411574525,481225.87411574525
0.28125,477032.19300748117,477327.0031217565,477325.6643035559,477325.6643035559
0.34375,474925.2916075867,475363.7383667274,475362.2894217245,475362.2894217245
0.40625,473627.4382709583,474238.13745530084,474236.4961648051,474236.4961648051
0.46875,472721.919730343,473533.4229898499,473531.4767717984,473531.4767717984
0.53125,472022.49185073614,473063.27725486783,473060.8776316693,473060.8776316693
0.59375,471435.76559581404,472734.2278256999,472731.1852070364,472731.1852070364
0.65625,470910.7522236408,472495.1927026071,472491.2713859675,472491.2713859675
0.71875,470417.7322035721,472316.3492784318,472311.26255057845,472311.26255057845
0.78125,469938.46862076205,472179.34784605645,472172.75319826807,472172.75319826807
0.84375,469461.30176154815,472072.406316133,472063.90078973066,472063.90078973066
0.90625,468978.52808123495,471987.6893373706,471976.8049758848,471976.8049758848
0.96875,468484.923755188,471919.83201589645,471906.03140716185,471906.03140716185
1.03125,467976.8750836167,471865.0705012139,471847.74246616685,471847.74246616685
1.09375,467451.84645927156,471820.7101464527,471799.1656074235,471799.1656074235
1.15625,466908.0441374688,471784.7894831026,471758.25734215433,471758.25734215433
1.21875,466344.19720940525,471755.8614066316,471723.484697973,471723.484697973
1.28125,465759.4115986105,471732.8473967629,471693.6794860679,471693.6794860679
1.34375,465153.0701375074,471714.9378237446,471667.9388606305,471667.9388606305
1.40625,464524.76317692565,471701.5227992444,471645.55616078014,471645.55616078014
1.46875,463874.2389312468,471692.14276454033,471625.9718790112,471625.9718790112
1.53125,463201.3679797089,471686.45324775815,471608.73836511193,471608.73836511193
1.59375,462506.11685837095,471684.19871169154,471593.4940284413,471593.4940284413
1.65625,461788.52866784,471685.19342832506,471579.9442158063,471579.9442158063
1.71875,461048.7081546827,471689.3068263976,471567.8468779762,471567.8468779762
1.78125,460286.81050167495,471696.45255686075,471557.0016857552,471557.0016857552
1.84375,459503.03243965085,471706.5798789833,471547.2416898625,471547.2416898625
1.90625,458697.6054222683,471719.6671164661,471538.42686813284,471538.42686813284
1.96875,457870.7900165891,471735.7163267404,471530.4390641279,471530.4390641279
2.03125,457022.8715725361,471754.7492564227,471523.17802783736,471523.17802783736
2.09375,456154.15649411903,471776.80389346584,471516.55824780976,471516.55824780976
2.15625,455264.969389471,471801.9319063072,471510.50642248377,471510.50642248377
2.21875,454355.65043224365,471830.19628524705,471504.95943362825,471504.95943362825
2.28125,453426.5533470637,471861.669615143,471499.8626918345,471499.8626918345
2.34375,452478.04353088856,471896.4324767888,471495.1687868269,471495.1687868269
2.40625,451510.4966128142,471934.5722928417,471490.83638298593,471490.83638298593
2.46875,450524.29696834664,471976.1821161609,471486.8293172889,471486.8293172889
