tau,N_8,N_16
0.25,17649.695466188146,17649.695466133904
0.5909090909090909,15868.600178385814,15868.600178031562
0.9318181818181818,15618.971416302504,15618.971415382888
1.2727272727272727,15540.27375023587,15540.273748474423
1.6136363636363635,15505.826182426359,15505.826179544047
1.9545454545454546,15487.764514084547,15487.76450980917
2.2954545454545454,15477.141539932287,15477.14153400596
2.6363636363636362,15470.375080958893,15470.375073142222
2.977272727272727,15465.804624368744,15465.804614440929
3.3181818181818183,15462.575185125153,15462.575172879819
3.659090909090909,15460.210232726668,15460.210217963613
4.0,15458.427189388485,15458.427171901783
4.340909090909091,15457.049945813178,15457.049925376094
4.681818181818182,15455.96419698386,15455.964173330933
5.0227272727272725,15455.093219938824,15455.09319274521
5.363636363636363,15454.38405516185,15454.384024019486
5.704545454545454,15453.799272450431,15453.799236839895
6.045454545454546,15453.311873907673,15453.311833163878
6.386363636363637,15452.90203118817,15452.901984457068
6.7272727272727275,15452.554934879508,15452.554881062373
7.068181818181818,15452.259341303885,15452.259278985164
7.409090909090909,15452.00657066442,15452.00649801883
7.75,15451.78980587451,15451.789720549135
8.090909090909092,15451.603596882767,15451.603495850119
8.431818181818182,15451.443508379209,15451.443387757598
8.772727272727273,15451.30586899335,15451.305723831503
9.113636363636363,15451.187592833716,15451.18741685678
9.454545454545455,15451.086052547298,15451.08583786174
9.795454545454545,15450.99898877783,15450.998725532614
10.136363636363637,15450.924444991293,15450.924120992588
10.477272727272727,15450.86071968438,15450.860319960566
10.818181818181818,15450.806330305695,15450.80583661911
11.159090909090908,15450.759984973769,15450.759375275087
11.5,15450.720559379884,15450.71980720061
11.840909090909092,15450.687077201546,15450.686150979833
12.181818181818182,15450.65869299907,15450.657555333744
12.522727272727273,15450.63467699176,15450.633283819367
12.863636363636363,15450.61440137208,15450.612701061555
13.204545454545455,15450.597327966563,15450.59526032623
13.545454545454545,15450.582997130505,15450.580492322006
13.886363636363637,15450.571017798007,15450.5679951519
14.227272727272727,15450.561058619944,15450.55742534771
14.568181818181818,15450.552840121767,15450.548489919127
14.909090909090908,15450.546127808842,15450.540939345286
15.25,15450.54072614262,15450.534561432332
