tau,N_2,N_4
0.25,17649.69516720707,17649.69544744287
0.5909090909090909,15868.591514743503,15868.599635806211
0.9318181818181818,15618.91855185721,15618.96810006194
1.2727272727272727,15540.091114476212,15540.26226107725
1.6136363636363635,15505.357390957031,15505.796580474862
1.9545454545454546,15486.762553740458,15487.700947981122
2.2954545454545454,15475.250560582019,15477.02090255603
2.6363636363636362,15467.114096104615,15470.165697819375
2.977272727272727,15460.553375962652,15465.464980518078
3.3181818181818183,15454.562376301192,15462.052696169105
3.659090909090909,15448.50427723386,15459.440065212233
4.0,15441.929570204604,15457.33113551747
4.340909090909091,15434.49121941233,15455.535357080778
4.681818181818182,15425.902625594332,15453.92298097145
5.0227272727272725,15415.915963260995,15452.400904104708
5.363636363636363,15404.310806624806,15450.89892107637
5.704545454545454,15390.888184139498,15449.36156351576
6.045454545454546,15375.46757950578,15447.743079189968
6.386363636363637,15357.885548095775,15446.004247571176
6.7272727272727275,15337.995205320665,15444.110309325317
7.068181818181818,15315.666157675647,15442.029594578496
7.409090909090909,15290.784622433403,15439.732603454424
7.75,15263.253583591646,15437.191387788382
8.090909090909092,15232.992892865439,15434.379138398983
8.431818181818182,15199.939262686672,15431.269915377452
8.772727272727273,15164.046122809652,15427.838479089629
9.113636363636363,15125.283328532849,15424.06019233983
9.454545454545455,15083.63671977977,15419.910972494768
9.795454545454545,15039.107538109158,15415.36727808925
10.136363636363637,14991.711714182005,15410.406118550627
10.477272727272727,14941.479041909732,15405.005078752843
10.818181818181818,14888.452257818124,15399.142352451972
11.159090909090908,14832.686045339975,15392.796780436274
11.5,14774.245983997414,15385.947890554236
11.840909090909092,14713.207462932814,15378.575937748374
12.181818181818182,14649.654577163654,15370.66194289556
12.522727272727273,14583.679023428793,15362.187729704914
12.863636363636363,14515.379010702174,15353.135959212428
13.204545454545455,14444.85819849576,15343.490161588012
13.545454545454545,14372.224674056819,15333.234765074398
13.886363636363637,14297.589977564243,15322.355121937295
14.227272727272727,14221.068182504348,15310.837531341296
14.568181818181818,14142.775036602183,15298.66925908916
14.909090909090908,14062.82716702906,15285.838554180064
15.25,13981.341352119152,15272.334662159417
