n,E_f_T,E_ref_T,sgn_true,sgn_E_T,E_f_H,E_ref_H,sgn_E_H
0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,1.0135673097266817,1.0135673097266817,1.0,1.0,1.2115296749076743,1.2115296749076743,1.0
2,2.7098329169028545,1.8619690911769737,0.017808460948272844,0.014417404900253294,8.208625304509386,4.711187023390128,2.5433683851026194e-08
3,4.435127316160248,2.7099746017889004,8.212212560428282e-05,0.0001794231506386281,15.325464701446133,8.209209754664325,3.5257273450328986e-16
4,6.96022112345318,3.5579730128354465,1.9091913915720664e-08,4.0936630925024445e-08,25.74147665652948,11.70720320023133,3.349364416184958e-31
5,9.514153654865964,4.405971318366397,1.5319118975465174e-12,8.085799972721438e-12,36.27644834860721,15.2051962105465,1.755324231982622e-46
6,12.109115075364938,5.253969622120991,4.3109820013270435e-17,1.3008906284354555e-15,46.98066420816548,18.7031892135342,3.946782904368473e-62
7,15.45852603550557,6.101967926586126,1.1549643325967112e-22,4.813846286219901e-21,60.79698441874558,22.201182219452882,1.549816931174913e-84
8,18.84768050155472,6.94996623034072,1.2190455901792083e-28,1.4602987846087362e-26,74.77724659119833,25.69917522244058,2.6811561656137952e-107
9,22.260687935560238,7.7979645333847705,5.886252225510893e-35,3.931833926236092e-32,88.8559022564711,29.19716822249729,2.835992373118703e-130
10,25.729443336164334,8.645962837139365,1.1452864838045462e-41,8.011123702137915e-38,103.16451828396299,32.695161225484995,9.500258689344225e-154
11,29.899931009769173,9.493961142315044,3.2950357948864166e-49,4.88651733080757e-45,120.36777993758295,36.19315423433466,1.6486281233312133e-183
12,34.124531114176904,10.341959446069637,4.0665102842017345e-57,2.2740593517781734e-52,137.79425536826483,39.69114723732236,9.371463237519165e-214
13,38.371827656025204,11.189957748403144,2.5795781830422414e-65,9.447555601449798e-60,155.31435360338907,43.189140234448075,3.33574434324596e-244
14,42.64530659776611,12.037956053578823,8.450515164420337e-74,3.443362654134314e-67,172.9424542380703,46.68713324329775,6.919168472665527e-275
15,46.989965641675006,12.885954357333416,1.2192107701692977e-82,8.791853489083381e-75,190.8641727941945,50.18512624628545,3.3062205745332894e-306
16,51.97979276028163,13.73395266108801,3.598174905062049e-92,8.916890752964592e-84,211.44720965844684,53.68311924927315,0.0
