tau,N_2,N_4,N_6,N_8,N_10,N_16
0.25,8.60379784711923,8.603799705248747,8.603799804760355,8.603799821508591,8.603799826085746,8.603799828776813
0.35050251256281406,6.351124741083861,6.351130087634501,6.35113037425873,6.351130422508484,6.351130435695722,6.351130443449295
0.4510050251256281,5.120319736475476,5.120331660560638,5.120332300663412,5.12033240844565,5.120332437906716,5.1203324552296845
0.5515075376884422,4.352339876615368,4.352362746404439,4.3523639761465205,4.3523641832821784,4.352364239907279,4.352364273205034
0.6520100502512562,3.8327644116651673,3.832804100647128,3.8328062390462345,3.8328065993764286,3.8328066978949464,3.8328067558327716
0.7525125628140703,3.4616712216788987,3.4617353529552193,3.4617388162807243,3.4617394001339368,3.461739559793197,3.4617396536969474
0.8530150753768844,3.1861932515842684,3.186291453611456,3.186296770828052,3.1862976676791472,3.186297912977171,3.186298057266261
0.9535175879396985,2.975727238851812,2.97587140602782,2.975879235003191,2.975880556279017,2.9758809177391767,2.97588113038486
1.0540201005025125,2.811325720532019,2.811530272313175,2.8115414165176875,2.8115432985062454,2.8115438134823605,2.8115441164846784
1.1545226130653266,2.6806294161481823,2.680911548928623,2.6809269743792314,2.680929581203441,2.6809302947049494,2.68093071458236
1.2550251256281406,2.5752341132954055,2.5756140400020984,2.575634892234354,2.575638418856692,2.5756393843849783,2.575639952671524
1.3555276381909547,2.489228442854134,2.4897296160292264,2.489757236916787,2.489761912146968,2.4897631925355146,2.4897639462813266
1.4560301507537687,2.4183367332337107,2.4189860482215466,2.419021992498659,2.4190280819824355,2.419029750235088,2.4190307325069713
1.556532663316583,2.359393431104156,2.360221406775616,2.3602674581519865,2.3602752673247305,2.3602774074478723,2.3602786678276
1.657035175879397,2.310008314470098,2.311049249660977,2.3111074364484026,2.3111173134420144,2.3111200212677727,2.3111216163464934
1.7575376884422111,2.2683461437459607,2.269638248234209,2.269710858429287,2.2697231969250153,2.2697265809237157,2.269728574791524
1.8580402010050252,2.2329774512009886,2.2345629505898135,2.234652546376573,2.2346677883994595,2.234671970480398,2.2346744352106076
1.9585427135678393,2.2027749537632957,2.204700168074864,2.204809599725471,2.2048282383784077,2.2048333546786094,2.2048363708066274
2.059045226130653,2.176840042411595,2.1791554385389618,2.179287857700339,2.179310439837186,2.1793166414982132,2.179320298495146
